"NULL","NULL","2007-08all aids","increaseoverbase"
"district","county","NULL","NULL"
"NULL","NULL","19273629757","1735988009"
"albany","albany","69901151","9760316"
"berne knox","albany","8743428","396899"
"bethlehem","albany","23202305","2801606"
"ravena coeyman","albany","16755124","1266478"
"cohoes","albany","17323112","2127378"
"south colonie","albany","20912533","1691029"
"north colonie","albany","14722615","1534853"
"menands","albany","709907","166260"
"maplewood","albany","670555","78437"
"green island","albany","3212808","1374219"
"guilderland","albany","22766676","714234"
"voorheesville","albany","5951188","203115"
"watervliet","albany","13050501","1274770"
"alfred almond","allegany","6119950","784660"
"andover","allegany","4779612","317072"
"genesee valley","allegany","9948224","524766"
"belfast","allegany","5763684","432296"
"canaseraga","allegany","3942974","354312"
"friendship","allegany","5584672","222036"
"fillmore","allegany","8210269","698220"
"whitesville","allegany","3945355","369638"
"cuba-rushford","allegany","12868425","538274"
"scio","allegany","6620143","353698"
"wellsville","allegany","13937242","820212"
"bolivar-richbg","allegany","15176177","787287"
"chenango forks","broome","16925332","744775"
"binghamton","broome","47747059","6641165"
"harpursville","broome","11282500","942377"
"susquehanna va","broome","16848025","1371802"
"chenango valle","broome","14228476","1049623"
"maine endwell","broome","17940660","1344585"
"deposit","broome","6111425","591983"
"whitney point","broome","18754016","1520377"
"union-endicott","broome","26937189","3153141"
"johnson   city","broome","19753788","2278263"
"vestal","broome","20676858","3138277"
"windsor","broome","17025456","1562324"
"west valley","cattaraugus","4888903","151470"
"allegany-limes","cattaraugus","13078961","258668"
"ellicottville","cattaraugus","3866833","55398"
"franklinville","cattaraugus","11302861","528656"
"hinsdale","cattaraugus","6069314","228479"
"cattaraugus-li","cattaraugus","12466677","346130"
"olean","cattaraugus","19239743","615442"
"gowanda","cattaraugus","14625050","1414790"
"portville","cattaraugus","9976008","272325"
"randolph","cattaraugus","11126951","782520"
"salamanca","cattaraugus","18024157","3573403"
"yorkshre-pione","cattaraugus","27835638","348783"
"auburn","cayuga","35713814","3219692"
"weedsport","cayuga","8478223","538920"
"cato meridian","cayuga","11925751","613974"
"southern cayug","cayuga","8756769","505511"
"port byron","cayuga","11254328","1115578"
"moravia","cayuga","10778449","853789"
"union springs","cayuga","9449505","(136503)"
"southwestern","chautauqua","10839511","572632"
"frewsburg","chautauqua","8872988","768203"
"cassadaga vall","chautauqua","12749292","1068232"
"chautauqua","chautauqua","6586256","463354"
"pine valley","chautauqua","8742519","824608"
"clymer","chautauqua","5051897","(21915)"
"dunkirk","chautauqua","19662859","2242913"
"bemus point","chautauqua","4698128","190423"
"falconer","chautauqua","11291595","1264442"
"silver creek","chautauqua","11406655","972049"
"forestville","chautauqua","5426902","440769"
"panama","chautauqua","7750994","519916"
"jamestown","chautauqua","50044600","4419697"
"fredonia","chautauqua","13112125","399527"
"brocton","chautauqua","9319154","646545"
"ripley","chautauqua","5739184","448919"
"sherman","chautauqua","5466817","590076"
"westfield","chautauqua","8235245","393636"
"elmira","chemung","73132948","8409671"
"horseheads","chemung","28519860","1332249"
"elmira heights","chemung","9930864","686765"
"afton","chenango","9630988","902599"
"bainbridge gui","chenango","10136669","1236311"
"greene","chenango","14072529","1884043"
"unadilla","chenango","14011486","1074247"
"norwich","chenango","20751690","2758751"
"grgetwn-so ots","chenango","5251178","475619"
"oxford","chenango","11480337","1255917"
"sherburne earl","chenango","19942774","2595519"
"ausable valley","clinton","13401058","750346"
"beekmantown","clinton","16261750","873730"
"northeastern","clinton","14221767","1080187"
"chazy","clinton","4189052","345627"
"northrn adiron","clinton","12178399","921380"
"peru","clinton","22902467","1252370"
"plattsburgh","clinton","16085393","532968"
"saranac","clinton","16931991","1686591"
"copake-taconic","columbia","11062130","535798"
"germantown","columbia","5077125","78618"
"chatham","columbia","7008131","500451"
"hudson","columbia","17298708","927621"
"kinderhook","columbia","14344963","545254"
"new lebanon","columbia","3774964","237268"
"cincinnatus","cortland","7573316","311620"
"cortland","cortland","22538746","2299741"
"mcgraw","cortland","6448277","709355"
"homer","cortland","19592295","1560565"
"marathon","cortland","10101449","1352662"
"andes","delaware","852229","124796"
"downsville","delaware","1655629","291863"
"charlotte vall","delaware","4718909","494338"
"delhi","delaware","9019171","615953"
"franklin","delaware","3394560","430092"
"hancock","delaware","5634612","784527"
"margaretville","delaware","3399730","366015"
"roxbury","delaware","3487713","377701"
"sidney","delaware","15016210","1685052"
"stamford","delaware","4582839","532099"
"s. kortright","delaware","3898154","202106"
"walton","delaware","11915635","1441838"
"beacon","dutchess","24043993","1603434"
"dover","dutchess","10673108","331746"
"hyde park","dutchess","24138712","2509638"
"northeast","dutchess","5737471","(1318)"
"pawling","dutchess","5557476","615764"
"pine plains","dutchess","7201781","61848"
"poughkeepsie","dutchess","51624764","4809019"
"arlington","dutchess","45792641","4403659"
"spackenkill","dutchess","6396013","903098"
"red hook","dutchess","14715524","1112927"
"rhinebeck","dutchess","3588932","452961"
"wappingers","dutchess","49495760","7514049"
"millbrook","dutchess","3000581","506991"
"alden","erie","14042481","795719"
"amherst","erie","9882678","746252"
"williamsville","erie","33596321","2789904"
"sweet home","erie","21428387","1177832"
"east aurora","erie","6473991","94190"
"buffalo","erie","562024718","46641693"
"cheektowaga","erie","11205925","1511007"
"maryvale","erie","13670553","1115713"
"cleveland hill","erie","12718185","1741643"
"depew","erie","15998000","418953"
"sloan","erie","13286873","2600452"
"clarence","erie","19557820","1738894"
"springville-gr","erie","17280580","1864570"
"eden","erie","10663831","909354"
"iroquois","erie","13347008","519051"
"evans-brant","erie","29689417","978318"
"grand island","erie","16567511","1526212"
"hamburg","erie","20320183","1213343"
"frontier","erie","27498605","2153431"
"holland","erie","9520787","28054"
"lackawanna","erie","25653258","2518547"
"lancaster","erie","28146951","3146554"
"akron","erie","13983835","1019387"
"north collins","erie","7057422","515096"
"orchard park","erie","22786029","1986653"
"tonawanda","erie","16723584","923479"
"kenmore","erie","47915288","5042310"
"west seneca","erie","43384178","5554469"
"crown point","essex","4139362","280771"
"elizabethtown","essex","3845957","329733"
"keene","essex","703244","163348"
"minerva","essex","1145112","170491"
"moriah","essex","9274111","951654"
"newcomb","essex","546134","63665"
"lake placid","essex","2661442","305789"
"schroon lake","essex","1029420","139098"
"ticonderoga","essex","6416750","852039"
"westport","essex","1898277","138769"
"willsboro","essex","2376748","217084"
"tupper lake","franklin","8568181","799813"
"chateaugay","franklin","6429406","678375"
"salmon river","franklin","20175266","881150"
"saranac lake","franklin","8231788","258114"
"malone","franklin","27305104","2885173"
"brushton moira","franklin","11344773","842040"
"st regis falls","franklin","4514987","474897"
"wheelerville","fulton","1476958","102678"
"gloversville","fulton","30442913","1806997"
"johnstown","fulton","16855427","1060304"
"mayfield","fulton","9247290","449591"
"northville","fulton","3556193","130152"
"oppenheim ephr","fulton","5079568","284538"
"broadalbin-per","fulton","15999090","1041280"
"alexander","genesee","10357477","1119058"
"batavia","genesee","21856665","2084837"
"byron bergen","genesee","11292264","1254405"
"elba","genesee","5846556","540817"
"le roy","genesee","11538462","1368545"
"oakfield alaba","genesee","10600485","1068516"
"pavilion","genesee","10272176","968017"
"pembroke","genesee","10169550","1075010"
"cairo-durham","greene","13580131","2047796"
"catskill","greene","13470026","1499411"
"coxsackie athe","greene","8776567","880542"
"greenville","greene","10330764","1020354"
"hunter tanners","greene","2558030","450784"
"windham ashlan","greene","1493646","187409"
"indian lake","hamilton","686602","170453"
"lake pleasant","hamilton","568939","154093"
"long lake","hamilton","395637","131577"
"wells","hamilton","1083572","195888"
"west canada va","herkimer","8311390","262972"
"frankfort-schu","herkimer","9271760","504562"
"ilion","herkimer","17749084","1138739"
"mohawk","herkimer","8987009","562809"
"herkimer","herkimer","10102936","754893"
"little falls","herkimer","11473862","769735"
"dolgeville","herkimer","10105988","706974"
"poland","herkimer","5393859","518092"
"van hornsville","herkimer","3370731","172309"
"town of webb","herkimer","821482","49790"
"bridgewater-w","herkimer","14538037","807360"
"s. jefferson","jefferson","18690296","2062374"
"alexandria","jefferson","4197505","427585"
"indian river","jefferson","39204059","2713380"
"general brown","jefferson","12374524","848434"
"thousand islan","jefferson","7812256","603371"
"belleville-hen","jefferson","4416824","140110"
"sackets harbor","jefferson","3766111","227585"
"lyme","jefferson","2886955","196921"
"la fargeville","jefferson","5055834","569146"
"watertown","jefferson","34840749","4225079"
"carthage","jefferson","30243991","2293073"
"copenhagen","lewis","6483549","717750"
"harrisville","lewis","4922360","359780"
"lowville","lewis","13925400","1594320"
"south lewis","lewis","14108998","944991"
"beaver river","lewis","9670027","593915"
"avon","livingston","8425865","358114"
"caledonia mumf","livingston","8388496","942128"
"geneseo","livingston","6379047","590275"
"livonia","livingston","14580848","867279"
"mount morris","livingston","8167966","742527"
"dansville","livingston","18865448","1629607"
"dalton-nunda","livingston","12296167","826217"
"york","livingston","9373527","926759"
"brookfield","madison","3556677","458439"
