"Wikipage page ID","label","Geburtsdatum","Wikipage revision ID"
"46201836","Asheesh Sethi","1969-12-31","674178389"
"","Ashin Sandadika","",""
"47370012","Ashley Clements","","680738525"
"","Ashley Comeau","1984-07-31",""
"","Ashley Everett","1989-04-19",""
"","Ashok Bhagat","",""
"","Ashok Bhushan","1956-07-05",""
"","Asli Melisa Uzun","1996",""
"","Asmirandah","1989-10-05",""
"","Asser Yassin","1981-02-25",""
"","Astrid S","1996-10-29",""
"","Athena Manoukian","--05-22",""
"","橋本淳 (俳優)","1987-01-12",""
"","丸山敦史","",""
"","白又敦","1994-03-22",""
"","Attila Grandpierre","1951-07-04",""
"","Audrey D'Silva","1993-08-23",""
"","Avani Modi","",""
"","Avery Paraiso","1994-09-22",""
"","Avery Wilson","",""
