"Geburtsdatum","label","birth place","Geburtsort"
"1993-06-08","Enzo Knol","http://dbpedia.org/resource/Assen","http://dbpedia.org/resource/Assen"
"","Eric Joris","",""
"1971","Eric Minh Swenson","",""
"","Eric Ng","http://dbpedia.org/resource/Singapore","http://dbpedia.org/resource/Singapore"
"1934-06-08","Erik Jayme","Montreal","http://dbpedia.org/resource/Montreal"
"1985-09-22","Erin Marie Hogan","http://dbpedia.org/resource/St._Louis","http://dbpedia.org/resource/St._Louis"
"","Ernst Simon Glaser","","http://dbpedia.org/resource/Sunnmøre"
"","Esther Anil","http://dbpedia.org/resource/Kerala","http://dbpedia.org/resource/Kerala"
"","Ethan Farmer","","http://dbpedia.org/resource/Illinois"
"","Etherwood","",""
"","Eugenio Bonivento","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Italy"
"1987-06-16","Evan Neufeldt","http://dbpedia.org/resource/Saskatchewan","http://dbpedia.org/resource/Saskatchewan"
"","Evan Woolley","Calgary","http://dbpedia.org/resource/Calgary"
