"abeliophyllum                         distichum","schneeforsythie                         wei&szlig;e forsythie","oleaceae"
"abies                         alba","wei&szlig;-tanne","pinaceae"
"abies                         balsamea","balsam-tanne","pinaceae"
"abies                         grandis","k�sten-tanne                         riesen-tanne","pinaceae"
"abies                         koreana","korea-tanne","pinaceae"
"abies                         pinsapo 'glauca'","blaue                         spanische tanne","pinaceae"
"abies                         procera","pazifische                         edel-tanne","pinaceae"
"abromeitiella                         brevifolia","&nbsp;","bromeliaceae"
"abromeitiella                         lorentziana (= deuterocohnia lorentziana)","&nbsp;","bromeliaceae"
"abutilon                         megapotamicum","&nbsp;","malvaceae"
"acalypha                         hispaniolae","&nbsp;","euphorbiaceae"
"acalypha                         hispida","raues                         nesselblatt","euphorbiaceae"
"acacia                         acinacea","&nbsp;","mimosaceae"
"acacia                         aneura","&nbsp;","mimosaceae"
"acacia                         baileyana","&nbsp;","mimosaceae"
"acacia                         brevispica","&nbsp;","mimosaceae"
"acacia                         cornigera","b&uuml;ffelhorn-akazie","mimosaceae"
"acacia                         iteaphylla","&nbsp;","mimosaceae"
"acacia                         quornensis","&nbsp;","mimosaceae"
"acacia                         trigonophylla","&nbsp;","mimosaceae"
"acacia                         verticillata","&nbsp;","mimosaceae"
"acanthocalycium brevispinum                         = echinopsis                         thionantha","&nbsp;","&nbsp;"
"acanthopanax sessiliflorus                         = eleutherococcus                         sessiliflorus","&nbsp;","&nbsp;"
"acanthostachys                         strobilaceae","&nbsp;","bromeliaceae"
"acca                         sellowiana","feijoa                         brasilianische guave","myrtaceae"
"acer                         buergerianum","dreizahn-ahorn","sapindaceae"
"acer                         campestre","feld-ahorn","sapindaceae"
"acer                         circinatum","wein-ahorn","sapindaceae"
"acer                         cissifolium","cissusbl�ttriger                         ahorn jungfern-ahorn","sapindaceae"
"acer                         crataegifolium","wei�dornbl�ttriger                         ahorn","sapindaceae"
"acer                         ginnala","mongolischer                         steppen-ahorn","sapindaceae"
"acer                         griseum","zimt-ahorn","sapindaceae"
"acer                         japonicum 'aconitifolium'","thunbergs                         f�cher-ahorn","sapindaceae"
"acer                         leucoderme","kalk-ahorn","sapindaceae"
"acer                         mono","japanischer spitz-ahorn mono-ahorn","sapindaceae"
"acer                         monspessulanum","burgen-ahorn                         franz�sischer ahorn","sapindaceae"
"acer                         negundo","eschen-ahorn","sapindaceae"
"acer                         negundo 'variegatum'","bunter                         eschen-ahorn","sapindaceae"
"acer                         palmatum","echter                         f�cher-ahorn","sapindaceae"
"acer                         palmatum 'atropurpureum'","&nbsp;","sapindaceae"
"acer                         palmatum 'dissectum ornatum'","&nbsp;","sapindaceae"
"acer                         pectinatum ssp. maximowiczii (= acer maximowiczii )","&nbsp;","sapindaceae"
"acer                         platanoides","spitz-ahorn","sapindaceae"
"acer                         pseudoplatanus","berg-ahorn","sapindaceae"
"acer                         rubrum","rot-ahorn","sapindaceae"
"acer                         rufinerve","rostnerviger                         streifen-ahorn","sapindaceae"
"acer                         saccharinum","silber-ahorn","sapindaceae"
"acer                         x zoeschense","z�schener                         ahorn","sapindaceae"
"aceras                         anthropophorum","ohnsporn","orchidaceae"
"achillea                         millefolium agg.","gew&ouml;hnliche                         schafgarbe","asteraceae"
"achillea                         ptarmica","sumpf-schafgarbe","asteraceae"
"acokanthera                         oblongifolia","wachsbaum","apocynaceae"
"aconitum                         napellus","blauer                         eisenhut","ranunculaceae"
"aconitum                         vulparia","wolfs-eisenhut                         gelber eisenhut","ranunculaceae"
"acorus                         calamus","kalmus","acoraceae"
"actaea                         spicata","schwarzfr&uuml;chtiges                         christophskraut","ranunculaceae"
"actinidia                         arguta","scharfz&auml;hniger                         strahlengriffel weiki bayern-kiwi","actinidiaceae"
"adenia                         glauca","&nbsp;","passifloraceae"
