"label","Wikipage page ID"
"Amy Williams (Neighbours)","46925892"
"Andy Barrett",""
"Denny Miller (Home and Away)","47808627"
"Hannah Wilson (Home and Away)",""
"List of Neighbours characters (1997)","46923843"
"Nate Kinski",""
"Oscar MacGuire",""
"Phoebe Nicholson",""
"Tyler Brennan",""
"AlDub",""
"Devon Hamilton and Hilary Curtis",""
"Tania Jeffries (Shortland Street)",""
"Camille Bordey",""
"Humphrey Goodman",""
"Alec Gilroy",""
"Angelo Rosetta",""
"Angie Watts",""
"Basil Fawlty",""
"Bianca Jackson",""
"Bianca Montgomery",""
