"organizational identifier","state","pre_1988","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","total"
"university of california the regents of","ca","546","59","79","63","83","79","112","153","203","255","264","386","434","432","401","430","437","422","388","410","333","237","6206"
"massachusetts institute of technology","ma","835","64","101","109","101","125","112","99","104","119","102","138","142","113","125","135","127","132","136","139","141","134","3333"
"california institute of technology","ca","306","18","56","30","36","32","29","46","37","24","46","93","99","103","124","110","139","135","101","115","116","96","1891"
"university of texas","tx","96","21","51","56","84","73","86","97","89","87","81","96","91","89","89","91","94","99","89","107","90","79","1835"
"stanford university","ca","282","54","43","36","57","42","50","62","54","55","64","79","83","103","84","102","85","75","90","98","85","120","1803"
"wisconsin alumni research foundation","wi","275","20","27","15","44","39","53","48","44","64","62","83","86","64","72","80","84","64","77","101","91","90","1583"
"johns hopkins university","md","151","21","27","15","25","20","33","23","28","27","47","79","97","72","80","81","70","94","71","91","62","66","1280"
"cornell research foundation inc.","ny","170","16","22","34","40","41","35","39","36","52","50","64","64","49","61","35","59","40","41","61","54","50","1113"
"university of michigan","mi","47","14","23","27","21","21","19","28","30","25","53","50","51","69","51","47","63","67","71","69","47","66","959"
"university of minnesota the regents of","mn","154","26","40","38","32","31","28","28","25","31","32","43","49","46","38","41","39","43","36","36","31","27","894"
"iowa state university research foundation inc.","ia","259","15","28","30","39","23","28","37","37","38","36","53","44","34","28","19","26","25","13","24","22","12","870"
"columbia university","ny","22","15","19","16","8","17","17","18","18","33","35","55","55","51","58","46","61","52","57","54","55","54","816"
"university of pennsylvania","pa","42","1","9","19","18","26","34","37","25","45","55","69","59","31","52","45","29","32","43","47","39","45","802"
"research foundation of state university of new york","ny","2","1","22","17","24","29","28","34","30","37","45","51","54","52","40","54","34","37","24","42","29","39","725"
"research corporation","ny","626","19","17","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","670"
"michigan state university","mi","39","8","2","7","11","19","13","21","15","32","41","59","53","42","39","49","49","28","24","32","35","46","664"
