"Wikipage revision ID","format","label","Wikipage page ID"
"682689066","Ongoing","Invisible Republic (comic book)","47432039"
"681708501","","Wanted - La storia criminale di Grand Theft Auto","47190727"
"676775066","","Jaliyat al-Kadr","47304717"
"","","Jani Confidential","47307748"
"682988973","","Jihad: The Rise of Militant Islam in Central Asia","47937735"
"","","جورنال عراق",""
"682343342","","カガクなヤツら","47321872"
"683083304","","Karodaun Kasturi","47411843"
"672872916","","Key Witness (Book)","47301988"
"","","Kitchens of the Great Midwest",""
"","","Каналья (роман)",""
"","","L'Asino",""
"681622693","","La Position du tireur couché","47458485"
"","","La Sirène rouge",""
"","","Lascar (book)",""
"","","Le Petit Provençal",""
"","","Les Racines du mal",""
"671123309","","Life Embitters","47220625"
"","","Lincoln and Darwin",""
"671316094","","Lokayata: A Study in Ancient Indian Materialism","47204035"
