"country","genre","label","Wikipage page ID","Wikipage revision ID"
"Nigeria","Short Stories","Say You’re One of Them","47279704","672227499"
"","","Sezon burz","47160780","676283592"
"","","SERVAMP -サーヴァンプ-","",""
"","","Sessanta racconti","47230675","671310207"
"","","Si (book)","",""
"","","Si (novel)","",""
"","","Sing Me No Lullaby","47206582","675425387"
"","http://dbpedia.org/resource/Play_(theatre)","Star Spangled (play)","47179063","670887239"
"http://dbpedia.org/resource/United_States","","Stars and Gods","47508945","675910453"
"","","Station Eleven","47276600","681929491"
"","","Summit (magazine)","",""
"","","SUPER LOVERS (漫画)","47439467",""
"","","Superforecasting","47937202","683979837"
"","","Süddeutsche Monatshefte","",""
"","","Taking Care of Baby","47283672","678942834"
"","","The A-Z Guide to Arranged Marriage","",""
"http://dbpedia.org/resource/United_States","","The Best of Larry Niven","47457651","675029826"
"","http://dbpedia.org/resource/Satire","The Blood of the Bambergs","47188045","671392926"
"","","The Blue Hour (book)","",""
"","","The Brotherhood of Fear","47232793","683407418"
