"scientific name","common name","family","us status","state status","global rank","state rank","more information"
"adlumia fungosa","climbing fumitory","fumariaceae","NULL","sc","g4","s3","{explorer}"
"agalinis gattingeri","gattinger's gerardia","scrophulariaceae","NULL","e","g4","s1","{explorer|abstract}"
"agalinis skinneriana","skinner's gerardia","scrophulariaceae","NULL","e","g3g4","s1","{explorer|abstract}"
"agoseris glauca","prairie or pale agoseris","asteraceae","NULL","t","g5","s2","{explorer|abstract}"
"agrimonia rostellata","beaked agrimony","rosaceae","NULL","t","g5","s2","{explorer}"
"agropyron spicatum(elytrigia spicata )","bluebunch wheatgrass","poaceae","NULL","x","g5","sx","{explorer}"
"allium schoenoprasum(allium schoenoprasum var. sibiricum)","chives","liliaceae","NULL","t","g5","s2","{explorer}"
"amerorchis rotundifolia(orchis rotundifolia)","small round-leaved orchis","orchidaceae","NULL","e","g5","s1","{explorer|abstract}"
"amorpha canescens","leadplant","fabaceae","NULL","sc","g5","s3","{explorer|abstract}"
"androsace occidentalis","rock-jasmine","primulaceae","NULL","e","g5","sh","{explorer}"
"angelica venenosa","hairy angelica","apiaceae","NULL","sc","g5","s3","{explorer}"
"antennaria parvifolia","pussy-toes","asteraceae","NULL","sc","g5","s1","{explorer}"
"antennaria rosea","rosy pussytoes","asteraceae","NULL","e","g5","sx","{explorer}"
"arabis missouriensis var. deamii(boechera missouriensis)","missouri rock-cress","brassicaceae","NULL","sc","g5?qt3?q","s2","{explorer}"
"arabis perstellata(boechera dentata)","rock cress","brassicaceae","NULL","t","g5","s1","{explorer}"
"aristida dichotoma","three-awned grass","poaceae","NULL","x","g5","sx","{explorer}"
"aristida longespica","three-awned grass","poaceae","NULL","t","g5","s2","{explorer|abstract}"
"aristida tuberculosa","beach three-awned grass","poaceae","NULL","e","g5","s1","{explorer}"
"aristolochia serpentaria","virginia snakeroot","aristolochiaceae","NULL","t","g4","s2","{explorer|abstract}"
"armoracia lacustris(armoracia aquatica)","lake cress","brassicaceae","NULL","t","g4?","s2","{explorer|abstract}"
"arnica cordifolia(arnica whitneyi)","heart-leaved arnica","asteraceae","NULL","e","g5","s1","{explorer|abstract}"
"arnica lonchophylla","longleaf arnica","asteraceae","NULL","e","g4","s1","{explorer}"
"artemisia ludoviciana","western mugwort","asteraceae","NULL","t","g5","s1","{explorer}"
"asclepias hirtella","tall green milkweed","asclepiadaceae","NULL","t","g5","s2","{explorer|abstract}"
"asclepias ovalifolia","dwarf milkweed","asclepiadaceae","NULL","e","g5?","s1","{explorer}"
"asclepias purpurascens","purple milkweed","asclepiadaceae","NULL","t","g5?","s2","{explorer|abstract}"
"asclepias sullivantii","sullivant's milkweed","asclepiadaceae","NULL","t","g5","s2","{explorer|abstract}"
"asplenium rhizophyllum(camptosorus rhizophyllus)","walking fern","aspleniaceae","NULL","t","g5","s2s3","{explorer|abstract}"
"asplenium ruta-muraria","wall-rue","aspleniaceae","NULL","e","g5","s1","{explorer}"
"asplenium scolopendrium var. americanum(phyllitis scolopendrium var. americana)","hart's-tongue fern","aspleniaceae","lt","e","g4t3","s1","{explorer|abstract}"
"asplenium trichomanes-ramosum(asplenium viride)","green spleenwort","aspleniaceae","NULL","sc","g4","s3","{explorer}"
"aster drummondii(symphyotrichum drummondii)","drummond's aster","asteraceae","NULL","t","g5","s2","{explorer}"
"aster furcatus(eurybia furcata)","forked aster","asteraceae","NULL","t","g3","s1","{explorer}"
"aster modestus(canadanthus modestus)","great northern aster","asteraceae","NULL","t","g5","s1","{explorer|abstract}"
"aster praealtus(symphyotrichum praealtum)","willow aster","asteraceae","NULL","sc","g5","s3","{explorer}"
"aster sericeus(symphyotrichum sericeum)","western silvery aster","asteraceae","NULL","t","g5","s2","{explorer}"
"astragalus canadensis","canadian milk vetch","fabaceae","NULL","t","g5","s1s2","{explorer}"
"astragalus neglectus","cooper's milk vetch","fabaceae","NULL","sc","g4","s3","{explorer}"
