"Wikipage page ID","Geburtsdatum","Geburtsort","label"
"47871158","1977-09-20","http://dbpedia.org/resource/Waiblingen","Jagoda Marinić"
"","1955-03-21","http://dbpedia.org/resource/Campinas","Jair Bolsonaro"
"","1981","http://dbpedia.org/resource/Greater_Noida","Jaivindra singh bhati"
"","","","Jamais Cascio"
"","1996-03-29","http://dbpedia.org/resource/London_Borough_of_Brent","James Akintunde"
"47010247","","","James DeJulio"
"","1974","http://dbpedia.org/resource/Cedar_Rapids,_Iowa","James Erwin (author)"
"","","http://dbpedia.org/resource/Adelaide","James Glasspool"
"","","http://dbpedia.org/resource/Gary,_Indiana","James Grear"
"","","","James Nowick"
"","1990","http://dbpedia.org/resource/Arkansas","James Sturch"
"","","http://dbpedia.org/resource/Brooklyn","James Vila Blake"
"46849362","","","Jamie Jackson (actor)"
"","1991-10-24","http://dbpedia.org/resource/New_York","Jamie Lynn Macchia"
"46318819","","","Jamie Smart (author)"
"","","http://dbpedia.org/resource/Møre_og_Romsdal","Jan Erik Mikalsen"
"","1956-09-25","http://dbpedia.org/resource/Pennsylvania","Jan H. Gardner"
"","1978-11-04","http://dbpedia.org/resource/Mladá_Boleslav","Jan Hamáček"
"","","","Jan Serr"
"","1988-04-14","http://dbpedia.org/resource/Shaker_Heights,_Ohio","Jane Bordeaux"
