"birth place","Wikipage revision ID","birth date","Geburtsdatum","Link from a Wikipage to an external page","Wikipage page ID","label"
"Argentina","","","","","","Elisa Pritzker"
"","","","1922-02-12","","","Elisabeth Carron"
"","","","1955","","46188834","Elisenda Fábregas"
"http://dbpedia.org/resource/Guam","","","1953-07-21","","","Elizabeth Barrett-Anderson"
"","","","","","","Elizabeth Sherwood-Randall"
"","","","1987-04-03","","","Elkhan Zeynalli"
"","","","1998-10-28","","","Ellie Drennan"
"","","","1963","","","Elly Griffiths"
"http://dbpedia.org/resource/Cebu","","","","","","Elyson De Dios"
"http://dbpedia.org/resource/East_Java","","","1953-05-27","","","Emha Ainun Nadjib"
"","","","","","","EmiSunshine"
"http://dbpedia.org/resource/Ontario","","","","","","Emily Kai Bock"
"New York City","","","1990","","","Emily Skeggs"
"","","","","","","Emma Marris"
"","","","","","","Emmanuel "Manny" Mijares"
