"&nbsp;","nombre","álbum","duración","precio","&nbsp;"
"1","el blues de la nube","el maquinista de la general","2:55","$12.00","ver en itunes"
"2","metro balderas","el maquinista de la general","4:31","$12.00","ver en itunes"
"3","susie q","el maquinista de la general","3:50","$12.00","ver en itunes"
"4","¿quién parará esta locura?","el maquinista de la general","3:47","$12.00","ver en itunes"
"5","noko","el maquinista de la general","3:08","$12.00","ver en itunes"
"6","el maquinista de la general","el maquinista de la general","3:41","$12.00","ver en itunes"
"7","no más héroes por favor","el maquinista de la general","4:26","$12.00","ver en itunes"
"8","pasó cerca la bala","el maquinista de la general","4:45","$12.00","ver en itunes"
"9","¿por qué no te callas?","el maquinista de la general","3:42","$12.00","ver en itunes"
"10","i'm so tired","el maquinista de la general","2:51","$12.00","ver en itunes"
