"birth place","label","Geburtsort"
"http://dbpedia.org/resource/United_States","Blair Tugman","http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Statesville,_North_Carolina","Blake Crouch","http://dbpedia.org/resource/Statesville,_North_Carolina"
"","Blue (rapper)","http://dbpedia.org/resource/Gwangju"
"New York City","Boaz Lavie",""
"","Bob Loonan",""
"","Bob Theil","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/Kumanovo","Boban Trajkovski","http://dbpedia.org/resource/Kumanovo"
"http://dbpedia.org/resource/Bangladesh","Bobby Hajjaj","http://dbpedia.org/resource/Bangladesh"
"","Bodega Bamz","http://dbpedia.org/resource/United_States"
"Amsterdam, Netherland","Boris Gerrets",""
"http://dbpedia.org/resource/Soviet_Union","Кочейшвили, Борис Петрович","http://dbpedia.org/resource/Soviet_Union"
"","Косарев, Борис Максимович","http://dbpedia.org/resource/Russian_Empire"
"http://dbpedia.org/resource/Benoni,_Gauteng","Braam Jordaan","http://dbpedia.org/resource/Benoni,_Gauteng"
"","Brad Rubinstein","http://dbpedia.org/resource/England"
"","Bradley Ogden","http://dbpedia.org/resource/Traverse_City,_Michigan"
"Washington, United States","Brandon Dorman","http://dbpedia.org/resource/Washington_(state)"
"","Brazilian Wrestling Federation",""
"http://dbpedia.org/resource/Calgary","Brendan Miles","http://dbpedia.org/resource/Calgary"
"","Brennan Heart",""
"http://dbpedia.org/resource/Los_Angeles","Brent Jones (musician)","http://dbpedia.org/resource/Los_Angeles"
