"majorgroup","family","species","essexthreat"
"amphibians and reptiles","salamandridae","triturus cristatus","essex vulnerable"
"amphibians and reptiles","salamandridae","triturus helveticus","&nbsp;"
"amphibians and reptiles","viperidae","vipera berus","essex vulnerable"
"bees wasps & ants","andreninae","andrena alfkenella","essex endangered"
"bees wasps & ants","andreninae","andrena angustior","essex vulnerable"
"bees wasps & ants","andreninae","andrena apicata","essex endangered"
"bees wasps & ants","andreninae","andrena bimaculata","essex threatened"
"bees wasps & ants","andreninae","andrena bucephala","essex endangered"
"bees wasps & ants","andreninae","andrena cineraria","essex vulnerable"
"bees wasps & ants","andreninae","andrena coitana","essex endangered"
"bees wasps & ants","andreninae","andrena denticulata","essex vulnerable"
"bees wasps & ants","andreninae","andrena falsifica","essex endangered"
"bees wasps & ants","andreninae","andrena florea","essex threatened"
"bees wasps & ants","andreninae","andrena fucata","essex threatened"
"bees wasps & ants","andreninae","andrena fulvago","regionally important"
"bees wasps & ants","andreninae","andrena fuscipes","essex threatened"
"bees wasps & ants","andreninae","andrena gravida","essex endangered"
"bees wasps & ants","andreninae","andrena hattorfiana","essex endangered"
"bees wasps & ants","andreninae","andrena humilis","essex vulnerable"
"bees wasps & ants","andreninae","andrena labiata","essex threatened"
"bees wasps & ants","andreninae","andrena marginata","essex endangered"
"bees wasps & ants","andreninae","andrena minutuloides","essex endangered"
"bees wasps & ants","andreninae","andrena nigriceps","essex endangered"
"bees wasps & ants","andreninae","andrena nigrospina","essex endangered"
"bees wasps & ants","andreninae","andrena pilipes sens. str.","regionally important"
"bees wasps & ants","andreninae","andrena proxima","essex threatened"
"bees wasps & ants","andreninae","andrena rosae","essex endangered"
"bees wasps & ants","andreninae","andrena similis","essex endangered"
"bees wasps & ants","andreninae","andrena thoracica","essex threatened"
"bees wasps & ants","andreninae","andrena tibialis","regionally important"
"bees wasps & ants","andreninae","andrena tridentata","&nbsp;"
"bees wasps & ants","andreninae","andrena trimmerana","regionally important"
"bees wasps & ants","andreninae","andrena varians","regionally important"
"bees wasps & ants","andreninae","panurgus banksianus","essex threatened"
"bees wasps & ants","anthophorinae","anthophora quadrimaculata","regionally important"
