"label","Geburtsort","birth place"
"Dirk Stettner","http://dbpedia.org/resource/Mönchengladbach","http://dbpedia.org/resource/Mönchengladbach"
"Disasterpeace","http://dbpedia.org/resource/United_States",""
"Diwakar Vaish","",""
"Dmitry Sholokhov","http://dbpedia.org/resource/Belarus",""
"Dmytro Anatoliyovych Osadchyi","http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine"
"Dmytro Bilonoh","http://dbpedia.org/resource/Cherkasy","http://dbpedia.org/resource/Cherkasy"
"Dmytro Ivanisenya","http://dbpedia.org/resource/Ukraine",""
"Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia","http://dbpedia.org/resource/Zaporizhia"
"Doc McKenzie","http://dbpedia.org/resource/Olanta,_South_Carolina","http://dbpedia.org/resource/Olanta,_South_Carolina"
"Don Hoffman","",""
"Don Kirkham (cyclist)","http://dbpedia.org/resource/Lyndhurst,_New_South_Wales",""
"Don Tjernagel","","Oelwein, Iowa"
"Don Yute","http://dbpedia.org/resource/Port_Antonio","http://dbpedia.org/resource/Port_Antonio"
"Donald A. S. Fraser","",""
"Donald Malloy","http://dbpedia.org/resource/Cheraw,_South_Carolina","http://dbpedia.org/resource/Cheraw,_South_Carolina"
"Donato Maria dell’Olio","http://dbpedia.org/resource/Bisceglie",""
"Donchristian","",""
"Donnya Piggott","http://dbpedia.org/resource/Barbados","Barbados"
"Dorothy Patterson","",""
"Doug Armstrong (presenter)","http://dbpedia.org/resource/Sussex","http://dbpedia.org/resource/Sussex"
