"{software|}","{company|}","{version|}","os","{certified|}"
"{  |softimage}","autodesk us","5.0 - 2011","windows","NULL"
"{  |solid edge}","siemens plm software headquarters","v18 - v23 (st3)","windows","NULL"
"{  |solidcam}","solidcam ga","2010","windows","NULL"
"{  |solidworks}","dassault systemes","2005 - 2011","windows","NULL"
"{  |solidworks cosmosdesignstar}","dassault systemes","2007 2008","windows","NULL"
"{  |solidworks cosmosfloworks (solidworks based)}","dassault systemes","NULL","windows","NULL"
"{  |solidworks cosmosmotion (solidworks based)}","dassault systemes","NULL","windows","NULL"
"{  |solidworks cosmosworks (solidworks based) }","dassault systemes","NULL","windows","NULL"
"{  |solidworks photoworks}","dassault systemes","NULL","windows","NULL"
"{  |spaceclaim professional}","spaceclaim corporation","2007 - 2009","windows","NULL"
"{  |spacetime 3d}","spacetime 3d inc","NULL","windows","NULL"
"{  |spacexform (avs/express based)}","visual technology services ltd.","NULL","windows","NULL"
"{  |speos (catia v5 based)}","optis headquarters","NULL","windows","NULL"
"{  |spinfire professional}","actify inc.","8.2","windows","NULL"
"{  |surfcam}","surfware inc.","NULL","windows","NULL"
"{  |surfplan professional}","idea software","2009","windows","NULL"
"{  |t-flex cad}","top systems","10 11","windows","NULL"
"{  |tactile 3d}","upper bounds interactive inc.","NULL","windows","NULL"
"{  |teamcenter visualization mockup}","siemens plm software headquarters","2007","windows","NULL"
"{  |teamcenter visualization professional}","siemens plm software headquarters","2007","windows","NULL"
