"Country/region","Currency","Fee for MCTs who deliver Microsoft IT professional developer or Microsoft Dynamics courses","Fee for MCTs who deliver Microsoft information worker courses only"
"Argentina","USD","150","75"
"Bolivia","USD","50","50"
"Brazil","USD","50","50"
"Chile","USD","150","75"
"Colombia","USD","50","50"
"Ecuador","USD","50","50"
"Falkland Islands (Islas Malvinas)","USD","150","75"
"French Guiana","USD","50","50"
"Guyana","USD","50","50"
"Paraguay","USD","50","50"
"Peru","USD","50","50"
"South Georgia and Sandwich Islands","AUD","70","70"
"Suriname","USD","50","50"
"Uruguay","USD","150","75"
"Venezuela","USD","150","75"
