"{|1}","ist autor von","wird erw�hnt in"
"tele 1","nachrichtenbeitrag iphone-projekt(2011) &nbsp;&nbsp;&nbsp;",""
"{|2}","ist autor von","wird erw�hnt in"
"frontal 21","die macht im netz(2011) &nbsp;&nbsp;&nbsp;",""
"{|a}","ist autor von","wird erw�hnt in"
"mark a. aakhus","perpetual contact(2002)","{daumenkultur|a sense of place|mobiles lernen}"
"jan van aalst","students assessing their own collaborative knowledge building(2006) (erschienen in international journal of computer-supported collaborative learning volume 1)beyond sitting next to each other(2001) &nbsp;&nbsp;&nbsp;","{international journal of computer-supported collaborative learning volume 1}"
"cristina l. abad","learning through creating learning objects(2008) (erschienen in iticse 2008)",""
"daniel f. abawi","concepts for extending wiki systems to supplement collaborative learning(2006) &nbsp;&nbsp;&nbsp;","{wikis to support the collaborative part of collaborative learning|wiki-didaktik zwischen kognitivismus und konstruktivismus|utilizing wiki-systems in higher education classes|einsatzm�glichkeiten von wikis in der ausbildung}"
"amos abayomi david","intelligent hypermedia in education(1989) (erschienen in iccal '89)",""
"jana abbing","user-defined learning strategies(2006) (erschienen in delfi 2006)",""
"edwin abbot","flatland(1884) &nbsp;&nbsp;&nbsp;","{wie wirklich ist die wirklichkeit?|einf�hrung in den konstruktivismus|im hyperraum|envisioning information|spiral dynamics}"
"t.k. abdel-hamid","the dynamics of software project staffing(1989)","{brooks� law revisited}"
"m'hammed abdous","the impact of academic podcasting on students� learning outcomes(2009) (erschienen in handbook of research on e-learning methodologies for language acquisition)",""
"sebastian abeck","kursbuch informatik(2005) &nbsp;&nbsp;living documents(2006) &nbsp;&nbsp;evaluation zur nutzung traditioneller und neuer lernmedien(2006) (erschienen in delfi 2006)",""
"andreas abecker","wisymon(2009) (erschienen in wikisym 2009)",""
"fabian abel","exploiting preference queries for searching learning resources(2007) (erschienen in creating new learning experiences on a global scale)",""
"j�rgen abel","proze�datenverarbeitung im unterricht(1998) (erschienen in log in 5/1998)",""
"marie-h�l�ne abel","organizational learning at university(2007) (erschienen in creating new learning experiences on a global scale)",""
"rob abel","innovation adoption and learning impact(2007) &nbsp;&nbsp;&nbsp;",""
"heinz abels","sozialisation(2010)einf�hrung in die soziologie &nbsp;&nbsp;",""
"hal abelson","blown to bits(2008) &nbsp;&nbsp;&nbsp;","{from blogs to bombs}"
"r. abelson","scripts plans goals and understanding(1977)","{a framework for integrated learning scripts|cscl scripts|framework on multiple goal dimensions for computer-supported scripts|flexibility in macro-scripts for computer-supported collaborative learning|participatory design in open education|handlungsstrategien von lehrerinnen|der hintergrund des wissens|learning to solve problems|scripting computer-supported collaborative learning|informationssuche im internet|the emotion machine}"
"johan aberg","challenges with teaching hci early to computer students(2010) (erschienen in iticse 2010)",""
"erwin abfalterer","foren wikis weblogs und chats im unterricht(2006) &nbsp;&nbsp;","{social software als wesentlicher bestandteil eines blended learning designs|wisskom 2007|einf�hrung in die netzdidaktik|log in 152: web 2.0 in der schule}"
