"Title","Language","Country","Years published","Frequency","Medium","Classification"
"Harvard Lampoon","English","USA","1876-present","Five per year","Paper","Satire"
"Krokodil","Russian","Russia","1922-1991 2005-present","Weekly","Paper","Satire"
"Le Canard encha?n?","French","France","1915-present","Weekly","Paper","Satire"
"Mad","English","USA","1952-present","Monthly (1952-2009) Quarterly (2009-)","Paper","Satire; comics"
"Princeton Tiger","English","USA","1882-present","Quarterly","Paper (1882-) Online (2009-)","Satire"
"Private Eye","English","UK","1961-present","Biweekly","Paper","Satire"
"Rumpus","English","USA","1992-present","Six per year","Paper","Satire/tabloid"
"The Wittenburg Door","English","USA","1971-present","Bimonthly","Paper","Christian satire"
"The Yale Record","English","USA","1872-present","8 per year","Paper","Satire theme issues"
"Jester of Columbia","English","USA","1991-1997 2005-present","Quarterly","Paper","Satire absurdism"
