"fans'rank","title","year","director(s)","overallrank"
"28","saving private ryan","1998","steven spielberg","50"
"498","say anything�","1989","cameron crowe","448"
"88","scarface","1983","brian de palma","239"
"390","scent of a woman","1992","martin brest","1753"
"11","schindler's list","1993","steven spielberg","22"
"309","scream","1996","wes craven","324"
"80","the searchers","1956","john ford","28"
"478","sense and sensibility","1995","ang lee","405"
"42","seven","1995","david fincher","112"
"40","the seven samurai","1954","akira kurosawa","32"
"103","the seventh seal","1957","ingmar bergman","119"
"361","shadow of a doubt","1943","alfred hitchcock","382"
"245","shakespeare in love","1998","john madden","244"
"313","shane","1953","george stevens","200"
"13","the shawshank redemption","1994","frank darabont","46"
"373","sherlock jr.","1924","buster keaton","261"
"38","the shining","1980","stanley kubrick","87"
"424","short cuts","1993","robert altman","603"
"233","shrek","2001","andrew adamson and vicky jenson","284"
"497","signs","2002","m. night shyamalan","1858"
"17","the silence of the lambs","1991","jonathan demme","30"
"490","a simple plan","1998","sam raimi","1494"
"488","sin city","2005","frank miller and robert rodriguez","575"
"48","singin' in the rain","1952","stanley donen and gene kelly","6"
"84","the sixth sense","1999","m. night shyamalan","171"
"451","sleeper","1973","woody allen","553"
"493","sleepy hollow","1999","tim burton","1516"
"273","sling blade","1996","billy bob thornton","826"
"234","snatch.","2000","guy ritchie","1088"
"255","snow white and the seven dwarfs","1937","david hand","89"
"402","solaris","1972","andrei tarkovsky","377"
"56","some like it hot","1959","billy wilder","10"
"169","the sound of music","1965","robert wise","79"
"342","south park: bigger longer & uncut","1999","trey parker","466"
"193","spartacus","1960","stanley kubrick","211"
"323","speed","1994","jan de bont","370"
"265","spider-man","2002","sam raimi","501"
"394","spider-man 2","2004","sam raimi","765"
"260","spirited away","2001","hayao miyazaki","174"
"272","stagecoach","1939","john ford","106"
"395","stalag 17","1953","billy wilder","569"
"375","stalker","1979","andrei tarkovsky","509"
"165","stand by me","1986","rob reiner","315"
"336","star trek: the wrath of khan","1982","nicholas meyer","507"
"5","star wars","1977","george lucas","8"
"398","star wars: episode i - the phantom menace","1999","george lucas","876"
"130","the sting","1973","george roy hill","281"
"285","la strada","1954","federico fellini","243"
"167","strangers on a train","1951","alfred hitchcock","235"
"139","a streetcar named desire","1951","elia kazan","145"
"393","sullivan's travels","1941","preston sturges","125"
"230","sunrise","1927","f.w. murnau","99"
"50","sunset blvd.","1950","billy wilder","33"
"300","superman","1978","richard donner","272"
"319","the sweet hereafter","1997","atom egoyan","512"
"438","sweet smell of success","1957","alexander mackendrick","177"
"379","swingers","1996","doug liman","860"
"8","taxi driver","1976","martin scorsese","19"
"377","the ten commandments","1956","cecil b. demille","403"
"63","terminator 2: judgment day","1991","james cameron","98"
"73","the terminator","1984","james cameron","95"
"298","the texas chain saw massacre","1974","tobe hooper","233"
"413","thelma & louise","1991","ridley scott","228"
"320","there's something about mary","1998","bobby and peter farrelly","420"
"419","the thin man","1934","w.s. van dyke","409"
"211","the thin red line","1998","terrence malick","357"
"217","the thing","1982","john carpenter","210"
"49","the third man","1949","carol reed","27"
"119","this is spinal tap","1984","rob reiner","78"
"338","three colors: blue","1993","krzysztof kieslowski","278"
"243","three colors: red","1994","krzysztof kieslowski","232"
"382","three kings","1999","david o. russell","663"
"362","throne of blood","1957","akira kurosawa","712"
"82","titanic","1997","james cameron","63"
"64","to kill a mockingbird","1962","robert mulligan","62"
"249","tokyo story","1953","yasujiro ozu","110"
"369","tombstone","1993","george p. cosmatos","1573"
"253","tootsie","1982","sydney pollack","197"
"447","top gun","1986","tony scott","411"
"411","top hat","1935","mark sandrich","172"
"403","total recall","1990","paul verhoeven","846"
"75","touch of evil","1958","orson welles","54"
"91","toy story","1995","john lasseter","64"
"218","toy story 2","1999","john lasseter","268"
"205","traffic","2000","steven soderbergh","713"
"113","trainspotting","1996","danny boyle","117"
"101","the treasure of the sierra madre","1948","john huston","92"
"228","true romance","1993","tony scott","430"
"146","the truman show","1998","peter weir","291"
"112","twelve monkeys","1995","terry gilliam","341"
"449","ugetsu","1953","kenji mizoguchi","273"
"504","un chien andalou","1929","luis bu�uel","410"
"354","unbreakable","2000","m. night shyamalan","1920"
"68","unforgiven","1992","clint eastwood","73"
"150","the untouchables","1987","brian de palma","408"
"29","the usual suspects","1995","bryan singer","55"
"22","vertigo","1958","alfred hitchcock","11"
"459","the wages of fear","1953","henri-georges clouzot","230"
"134","west side story","1961","jerome robbins and robert wise","88"
"489","what's eating gilbert grape","1993","lasse hallstr�m","1326"
"235","when harry met sally�","1989","rob reiner","167"
"259","who framed roger rabbit","1988","robert zemeckis","367"
"271","who's afraid of virginia woolf?","1966","mike nichols","476"
"93","the wild bunch","1969","sam peckinpah","51"
"213","wild strawberries","1957","ingmar bergman","208"
"288","willy wonka & the chocolate factory","1971","mel stuart","348"
"264","wings of desire","1987","wim wenders","195"
"374","witness","1985","peter weir","510"
"33","the wizard of oz","1939","victor fleming","5"
"465","x2","2003","bryan singer","888"
"406","x-men","2000","bryan singer","858"
"254","yojimbo","1961","akira kurosawa","342"
"147","young frankenstein","1974","mel brooks","260"
