"Geburtsdatum","birth place","Geburtsort","label"
"1988-06-29","http://dbpedia.org/resource/Ludhiana","http://dbpedia.org/resource/Ludhiana","Jass Bhatia"
"1963-05-31","http://dbpedia.org/resource/Khorramshahr","http://dbpedia.org/resource/Khorramshahr","Jassem Ghazbanpour"
"1990-11-05","Almenara, Spain","http://dbpedia.org/resource/Almenara,_Castellón","Jaume Domènech"
"","http://dbpedia.org/resource/Hollywood,_Florida","http://dbpedia.org/resource/Hollywood,_Florida","Javen"
"1969-10-26","http://dbpedia.org/resource/Santander,_Spain","http://dbpedia.org/resource/Santander,_Spain","Javi Pinillos"
"","Nagpur, Maharashtra, India","http://dbpedia.org/resource/Maharashtra","Jay Deshmukh"
"1983-07-30","","","Jayson Patino"
"1994-01-08","http://dbpedia.org/resource/British_Columbia","http://dbpedia.org/resource/British_Columbia","Jazmyne Denhollander"
"1781","","","Jean-François Joseph Blot"
"","http://dbpedia.org/resource/Bouches-du-Rhône","http://dbpedia.org/resource/Bouches-du-Rhône","Jean-Louis Nomicos"
"","http://dbpedia.org/resource/Tarn_(department)","http://dbpedia.org/resource/Tarn_(department)","Jean-Louis Etienne"
"1955","","","Jean Paul Leon"
"1995-10-26","Salvador, Brazil","http://dbpedia.org/resource/Salvador,_Bahia","Jean Paulo Fernandes Filho"
"","Berlin, Germany","http://dbpedia.org/resource/Germany","Jeanne Mammen"
"","http://dbpedia.org/resource/Kailua,_Hawaii_County,_Hawaii","http://dbpedia.org/resource/Kailua,_Hawaii_County,_Hawaii","Jeanné Kapela"
"1992-01-05","http://dbpedia.org/resource/Lebanon.","http://dbpedia.org/resource/Lebanon.","Jed Ismael"
"","http://dbpedia.org/resource/Belgium","http://dbpedia.org/resource/Belgium","Jef Caers"
"--09-07","","","Jeff Campbell (musician)"
"","","","Jeff Gordinier"
"","","http://dbpedia.org/resource/Los_Angeles","Jeff Jericho"
