"label","Wikipage page ID"
"Auckland Institute of Studies","46624204"
"Augustinus Fonden","47915280"
"Auntie Maria School","47037937"
"Aunty Donna","47918542"
"Aurul Brad",""
"Australia national junior handball team","47833993"
"Australian Welsh Male Choir",""
"Australian catholic historical society","46848864"
"Austrey School","46267114"
"Federación de baloncesto austríaca","45706330"
"Österreichisches Bundesrechenzentrum","46614182"
"AutoAnything","46176341"
"AutoUncle","46880482"
"Autonomous Solutions","46434893"
"UniBrasil",""
"Autosports India","46474258"
"Availity","47829655"
"Avery Biomedical Devices","46493387"
"Avrett Free Ginsberg","47884620"
"Awon",""
