"countries currency unit","countries currency unit","grd/unit","units/grd"
"dzd","algeria dinars","5.05358","0.197880"
"usd","united states dollars","391.213","0.00255616"
"ars","argentina pesos","132.840","0.00752788"
"aud","australia dollars","208.718","0.00479116"
"ats","austria schillings **","24.7633","0.0403824"
"bsd","bahamas dollars","391.213","0.00255616"
"bbd","barbados dollars","196.589","0.00508675"
"bef","belgium francs **","8.44697","0.118386"
"bmd","bermuda dollars","391.213","0.00255616"
"brl","brazil reals","168.263","0.00594306"
"gbp","united kingdom pounds","557.815","0.00179271"
"bgl","bulgaria leva","174.987","0.00571472"
"cad","canada dollars","245.249","0.00407749"
"clp","chile pesos","0.595952","1.67799"
"cny","china yuan renminbi","47.2627","0.0211583"
"cyp","cyprus pounds","595.453","0.00167939"
"czk","czech republic koruny","11.0359","0.0906130"
"dkk","denmark kroner","45.8682","0.0218016"
"xcd","east caribbean dollars","144.894","0.00690162"
"egp","egypt pounds","84.4495","0.0118414"
"eur","euro","340.750","0.00293470"
"fjd","fiji dollars","175.039","0.00571301"
"fim","finland markkaa **","57.3100","0.0174490"
"frf","france francs **","51.9470","0.0192504"
"dem","germany deutsche marks **","174.223","0.00573978"
"xau","gold ounces","118242.23","0.00000845722"
"grd","greece drachmae **","1.00000","1.00000"
"hkd","hong kong dollars","50.1580","0.0199370"
"huf","hungary forint","1.40131","0.713616"
"isk","iceland kronur","3.91237","0.255600"
"inr","india rupees","8.01600","0.124750"
"idr","indonesia rupiahs","0.0398204","25.1128"
"iep","ireland pounds **","432.663","0.00231127"
"ils","israel new shekels","82.4831","0.0121237"
"itl","italy lire **","0.175983","5.68238"
"jmd","jamaica dollars","8.21702","0.121699"
"jpy","japan yen","2.94921","0.339074"
"jod","jordan dinars","551.781","0.00181231"
"lbp","lebanon pounds","0.258397","3.87002"
"luf","luxembourg francs **","8.44697","0.118386"
"myr","malaysia ringgits","102.978","0.00971083"
"mxn","mexico pesos","43.4182","0.0230318"
"nzd","new zealand dollars","172.323","0.00580307"
"nok","norway kroner","44.1865","0.0226313"
"nlg","netherlands guilders **","154.626","0.00646723"
"pkr","pakistan rupees","6.51478","0.153497"
"php","philippines pesos","7.66783","0.130415"
"xpt","platinum ounces","203030.63","0.00000492537"
"pln","poland zlotych","95.1448","0.0105103"
"pte","portugal escudos **","1.69965","0.588355"
"rol","romania lei","0.0118783","84.1870"
"rur","russia rubles","12.5711","0.0795476"
"sar","saudi arabia riyals","104.322","0.00958573"
"xag","silver ounces","1811.25","0.000552104"
"sgd","singapore dollars","212.362","0.00470895"
"skk","slovakia koruny","8.15874","0.122568"
"zar","south africa rand","34.4445","0.0290322"
"krw","south korea won","0.296192","3.37618"
"esp","spain pesetas **","2.04795","0.488293"
"xdr","imf special drawing rights","487.770","0.00205015"
"sdd","sudan dinars","1.50466","0.664600"
"sek","sweden kronor","37.7585","0.0264841"
"chf","switzerland francs","232.689","0.00429758"
"twd","taiwan new dollars","11.1935","0.0893376"
"thb","thailand baht","8.98271","0.111325"
"ttd","trinidad and tobago dollars","63.9236","0.0156437"
"trl","turkey liras","0.000291060","3435.72"
"veb","venezuela bolivares","0.424866","2.35368"
"zmk","zambia kwacha","0.0875196","11.4260"
