"label","Geburtsdatum","Geburtsort","birth place"
"Anthony Kilhoffer","","",""
"Tony Hunter","","",""
"Antoine Westermann","1946-04-04","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France"
"Antti Asplund","","http://dbpedia.org/resource/Oulu",""
"Anu Elizabeth Jose","","http://dbpedia.org/resource/Alappuzha","http://dbpedia.org/resource/Alappuzha"
"森川葵","1995-06-17","http://dbpedia.org/resource/Aichi_Prefecture","http://dbpedia.org/resource/Aichi_Prefecture"
"中別府葵","","http://dbpedia.org/resource/Kumamoto_Prefecture","http://dbpedia.org/resource/Kumamoto_Prefecture"
"Arif Peçenek","","",""
"Art Hirahara","","",""
"Arturo Montero","1961","http://dbpedia.org/resource/Mexico_City","http://dbpedia.org/resource/Mexico_City"
"Arun Dubey","","http://dbpedia.org/resource/Jaunpur","http://dbpedia.org/resource/Jaunpur"
"Ash Riser","","http://dbpedia.org/resource/United_States",""
