"label","Geburtsort"
"Ash Riser","http://dbpedia.org/resource/United_States"
"Asheesh Sethi",""
"Ashin Sandadika","http://dbpedia.org/resource/Magway_Region"
"Ashley Clements",""
"Ashley Comeau",""
"Ashley Everett","http://dbpedia.org/resource/California"
"Ashok Bhagat","http://dbpedia.org/resource/Azamgarh"
"Ashok Bhushan","http://dbpedia.org/resource/Jaunpur,_Uttar_Pradesh"
"Asli Melisa Uzun","http://dbpedia.org/resource/Ankara"
"Asmirandah","http://dbpedia.org/resource/Jakarta"
"Asser Yassin","http://dbpedia.org/resource/Cairo"
"Astrid S",""
"Athena Manoukian",""
"橋本淳 (俳優)","http://dbpedia.org/resource/Tokyo"
"丸山敦史","http://dbpedia.org/resource/Tokyo_Metropolis"
"白又敦","http://dbpedia.org/resource/Kanagawa_Prefecture"
"Attila Grandpierre",""
"Audrey D'Silva","http://dbpedia.org/resource/Mumbai"
"Avani Modi","http://dbpedia.org/resource/Gandhinagar"
"Avery Paraiso","http://dbpedia.org/resource/United_States"
