"ImageFile","Wikipage page ID","imagesize","IUPACName","Wikipage revision ID","othernames","label"
"1","47602799","250","","678085181","","1-Hydroxypyrene"
"2","47759167","200","2","681672799","2","2-Butoxyethanol acetate"
"","47941355","","","683006168","","2-Hydroxyazulene"
"20","47836404","","-20","683937623","20","20-Hydroxyeicosatetraenoic acid"
"","47941376","","","683006095","","3-Methylfuran"
"3","47566254","200","3","677120287","3","3α-Dihydroprogesterone"
"3","47566317","200","3","682020264","3","3β-Dihydroprogesterone"
"4","47772816","200","","680686288","","4-Oxo-2-nonenal"
"9","47622643","250","-9","680994952","α-Dimorphecolic acid","9-Hydroxyoctadecadienoic acid"
"Acrylophenone.png","47119979","250","1","677711094","Acrylophenone; Phenylvinyl Ketone","Acrylophenone"
