"Wikipage page ID","Wikipage revision ID","label"
"47921076","683204542","Darrell Thorp"
"46271193","668834519","Darrick E. Antell"
"","","Darryl Kubian"
"","","Намдаков, Даши Бальжанович"
"","","Dasoul"
"","","Dave Bass"
"","","Dave Cobb"
"46188432","675426369","Dave Green"
"","","Dave Johns"
"","","Dave Moreno"
"","","Dave Pinto"
"","","Dave Rothenberg"
"","","Dave Umahi"
"","","Dave Wallace (Arkansas politician)"
"","","Dave Wright (American writer)"
"","","David Bowles (author)"
"","","David Bronson (musician)"
"","","David Bruck"
"","","David Camorlinga Tagle"
"","","David Campany"
