"Wikipage page ID","Wikipage revision ID","label"
"6187122","552514787","Cyathea humilis"
"6188587","678771025","Cyathea hunsteiniana"
"6200701","678771041","Cyathea imbricata"
"","","Cyathea incana"
"6221714","678771049","Cyathea insulana"
"5795314","640925340","Cyathea buennemeijerii"
"","","Cyathea delgadii"
"6172678","641015735","Cyathea elmeri"
"6140845","678770977","Cyathea glaberrima"
"6172165","640929094","Cyathea glaziovii"
"6148600","678770998","Cyathea gregaria"
"6149138","580105022","Cyathea grevilleana"
"6160615","640929450","Cyathea havilandii"
"6169435","678771002","Cyathea hooglandii"
"6170682","678771007","Cyathea hornei"
"6177101","","Cyathea hotteana"
"","","Cyathea inquinans"
"","","Cyathea × marcescens"
"5838621","669273196","Lophosoria"
"","","Marsilea villosa"
