"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Stockholm","Amanda Zahui B.","http://dbpedia.org/resource/Stockholm"
"Tokyo, Japan","Amane Okayama","http://dbpedia.org/resource/Tokyo"
"Delta State, Nigeria","Amarachi","http://dbpedia.org/resource/Delta_State"
"","Amarilli Nizza",""
"","Amber Kirk-Ford",""
"","Ambroise Abdo",""
"http://dbpedia.org/resource/Rehovot","Amir Alexander","http://dbpedia.org/resource/Rehovot"
"Shiraz, Iran","Amir Nojan","http://dbpedia.org/resource/Shiraz"
"Singapore","余澎杉",""
"","Amrit Maghera",""
"","Amy Williams (Neighbours)",""
"Bacolod City","Analyn Barro","http://dbpedia.org/resource/Leyte"
"http://dbpedia.org/resource/Chennai","Ananda Shankar Jayant","http://dbpedia.org/resource/Chennai"
"http://dbpedia.org/resource/Azerbaijan","Anar Alizada","http://dbpedia.org/resource/Azerbaijan"
"","Anastasia Lin",""
"","Anders Hvenare",""
"","Anderson East","http://dbpedia.org/resource/Alabama"
"","Andra Day",""
"","Аветисян, Андраник Оганнесович",""
"","Andre Foxxe",""
