"Date","Meet","Pool","Entries","Results"
"April 5-16","FCA Stroke Clinic M/W/F 6-8PM","FCA","-","-"
"April 19","Spring/Summer Season Begins","FCA","-","-"
"May 8-9","GPAC Spring Meet A/BB/C","GCITSewell New Jersey","Entries","Results"
"May 15","NRG Mini","Poquessing Middle SchoolFeasterville PA","Entries","Results"
"June 4-6","*GPAC Summer Meet A/BB/C","GCITSewell NJ","Entries","Results"
"June 13","FCA Mini","FCA","Entries","Results"
"June 18-20","*HAC/WSY LC Classic A/BB/C","Bucknell UniversityLewisburg PA","Entries","Results"
"June 26","Atlantic City Bridge to Bridge(Senior & Gold Only)","Atlantic City NJ","-","Results"
"July 9-11","*LAC Speedo Classic A/BB/C","Ephrata Community PoolEphrata PA","Entries","Results"
"July 16","Spring/Summer Season Ends","FCA","-","-"
"July 17","FCA Swim Party 6-10PM","Stony Lane Swim ClubGladwyne PA","-","-"
"July 21-24","**MA Senior Champs","Bucknell UniversityLewisburg PA","Entries","Results"
"July 29 - Aug 1","Junior Olympics **","Penn State UniversityUniversity Park PA","Entries","Results"
