"label","Geburtsort","birth place"
"Gabriele Gardel","http://dbpedia.org/resource/Milan","Milan"
"Gustavo Menezes","http://dbpedia.org/resource/Los_Angeles",""
"Ignas Gelžinis","",""
"Jordi Oriola","http://dbpedia.org/resource/Barcelona",""
"千代勝正","http://dbpedia.org/resource/Tokyo",""
"Lasse Sørensen (racing driver)","http://dbpedia.org/resource/Aalborg",""
"Lucile Cypriano","http://dbpedia.org/resource/Hauts-de-Seine",""
"Max Coates","",""
"Maximilian Günther","http://dbpedia.org/resource/Oberstdorf","http://dbpedia.org/resource/Oberstdorf"
"Mat'o Homola","http://dbpedia.org/resource/Bratislava",""
"Michael Lira (racing driver)","",""
"Petr Fulín","http://dbpedia.org/resource/Czech_Republic",""
"Ralph Boschung","",""
"Ryan Preece","http://dbpedia.org/resource/Connecticut",""
"Scott Ivie","",""
