"Wikipage revision ID","Link from a Wikipage to an external page","director","label","Wikipage page ID"
"682348888","http://www.mamaalbury.com.au/","Jacqui Hemsley","Murray Art Museum Albury","47758247"
"","","","Museo-laboratorio della civiltà contadina",""
"","","","Museo de Bellas Artes de Álava","45690159"
"668160943","","","Museo archeologico nazionale della Valle Camonica","46489624"
"676940594","http://www.mis.rj.gov.br","","Museu da Imagem e do Som (Rio de Janeiro)","46676063"
"666656650","","","De Valk (Leiden)","46853123"
"681840165","http://ovartaci.dk","","Museum Ovartaci","47867906"
"680630884","http://antikmuseet.au.dk","","Museum of Ancient Art, Aarhus","47782445"
"662129449","","","Muzeum Papieru i Druku w Łodzi","46614634"
"","","","Musée d'histoire des sciences de la Ville de Genève",""
"679613031","http://www.exeloncorp.com/powerplants/mystic/Pages/profile.aspx","","Mystic Generating Station","46561015"
"667344721","http://www.mueschede.de/","","Müschede","46997682"
"663211039","http://www.nailcotehall.co.uk/","","Nailcote Hall","46469610"
"","","","Nakasero Hospital",""
"682526875","","","Nanchari Madur","46490876"
"683768366","http://NarangaBihar.blogspot.com","","Naranga, Bihar","47953169"
"671987391","http://www.nassauchristian.org/","","Nassau Christian Center","46530395"
"676459954","https://www.facebook.com/muzej.kumanovo","","National Institution Museum, Kumanovo","46344474"
"","","","National Museum of Galle",""
"","","","National Museum of Qatar",""
