"Other Nearby Surf Breaks closest to Lage:      &nbsp;      (click location name for more details)","Other Nearby Surf Breaks closest to Lage:      &nbsp;      (click location name for more details)","Other Nearby Surf Breaks closest to Lage:      &nbsp;      (click location name for more details)"
"Closest break","Itapuca","1 mi"
"Second closest break","Segundinha","1 mi"
"Third closest break","Itacoatiara","4 mi"
"Fourth closest break","Arpoador","7 mi"
"Fifth closest break","Piratininga","7 mi"
"Wave buoys nearest to Lage:","Wave buoys nearest to Lage:","Wave buoys nearest to Lage:"
"Closest wave buoy","Brazil Buoy","723 mi"
"Second closest wave buoy","Middle Atlantic Buoy","2569 mi"
"Third closest wave buoy","West Atlantic Buoy","2656 mi"
"Fourth closest wave buoy","East of Martinique Buoy","2726 mi"
"Fifth closest wave buoy","Eastern Caribbean Buoy","3040 mi"
"Tide stations nearest to Lage:","Tide stations nearest to Lage:","Tide stations nearest to Lage:"
"Closest tide station","Rio de Janeiro Brazil","5 mi"
"Second closest tide station","Itacurussa Brazil","50 mi"
"Third closest tide station","Cabo Frio Brazil","69 mi"
"Fourth closest tide station","Angra dos Reis Brazil","76 mi"
"Fifth closest tide station","Armacao dos Buzios Brazil","80 mi"
"Ski Resorts closest to Lage:","Ski Resorts closest to Lage:","Ski Resorts closest to Lage:"
"Closest ski area","Chacaltaya             (Bolivia)","1685 mi"
"Second closest ski area","Vallecitos             (Argentina)","1750 mi"
"Third closest ski area","Los Penitentes             (Argentina)","1764 mi"
"Fourth closest ski area","Los Puquios             (Argentina)","1767 mi"
"Fifth closest ski area","Portillo             (Chile)","1781 mi"
"Town and city forecasts close to Lage:","Town and city forecasts close to Lage:","Town and city forecasts close to Lage:"
"Closest city location","Niteroi                 (Brazil)","2 mi"
"Second closest city location","Santos Dumont Airport                 (Brazil)","2 mi"
"Third closest city location","Sao Goncalo                 (Brazil)","8 mi"
"Fourth closest city location","Rio de Janeiro                 (Brazil)","10 mi"
"Fifth closest city location","Duque de Caxias                 (Brazil)","16 mi"
