"rank","title","category","publisher"
"1","super smash bros. melee","fighting","nintendo"
"2","pikmin 2","strategy/sim","nintendo"
"3","legend of zelda: collector's edition","rpg","nintendo"
"4","legend of zelda: the wind waker","action adventure","nintendo"
"5","metal gear solid: twin snakes","action adventure","konami"
"6","mario party 7","kids/family","nintendo"
"7","the legend of zelda: twilight princess","action adventure","nintendo"
"8","mario kart: double dash","racing","nintendo"
"9","wario world","action adventure","nintendo"
"10","super mario sunshine","action adventure","nintendo"
