"country","capital","area sq.km.","population 2008 est."
"afghanistan","kabul","647500","32738376"
"albania","tirana","28748","3619778"
"algeria","algiers","2381740","33769668"
"american          samoa","pago pago","199","64827"
"andorra","andorra          la vella","468","82627"
"angola","luanda","1246700","12531357"
"anguilla","the          valley","102","14108"
"antigua          and barbuda","saint          john's","443","84522"
"argentina","buenos          aires","2766890","40482000"
"armenia","yerevan","29800","2968586"
"aruba","oranjestad","193","101541"
"australia","canberra","7686850","21007310"
"austria","vienna","83870","8205533"
"azerbaijan","baku","86600","8177717"
"bahamas          the","nassau","13940","307451"
"bahrain","manama","665","718306"
"bangladesh","dhaka","144000","153546896"
"barbados","bridgetown","431","281968"
"belarus","minsk","207600","9685768"
"belgium","brussels","30528","10403951"
"belize","belmopan","22966","301270"
"benin","porto-novo","112620","8532547"
"bermuda","hamilton","53","66536"
"bhutan","thimphu","47000","682321"
"bolivia","sucre","1098580","9247816"
"bosnia          and herzegovina","sarajevo","51129","4590310"
"botswana","gaborone","600370","1842323"
"brazil","brasilia","8511965","196342592"
"british          virgin islands","road town","153","24041"
"brunei","bandar          seri begawan","5770","381371"
"bulgaria","sofia","110910","7262675"
"burkina          faso","ouagadougou","274200","15264735"
"burma          (myanmar)","pyinmana","678500","47758180"
"burundi","bujumbura","27830","8691005"
"cambodia","phnom          penh","181040","14241640"
"cameroon","yaounde","475440","18467692"
"canada","ottawa","9984670","33212696"
"cape          verde","praia","4033","426998"
"cayman          islands","george          town","262","47862"
"central          african republic","bangui","622984","4444330"
"chad","n'djamena","1284000","10111337"
"chile","santiago","756950","16454143"
"china","beijing","9596960","1330044544"
"china          hong kong sar","victoria","1092","7018636"
"china          macao sar","macau","28","545674"
"christmas          island","the          settlement","135","1402"
"cocos          islands","west          island","14","596"
"colombia","bogota","1138910","45013672"
"comoros","moroni","2170","731775"
"congo          dem. rep. of the","kinshasa","2345410","66514504"
"congo          rep. of the","brazzaville","342000","3903318"
"cook          islands","avarua","237","12271"
"costa          rica","san jose","51100","4195914"
"cote          d'ivoire","yamoussoukro","322460","20179602"
"croatia","zagreb","56542","4491543"
"cuba","havana","110860","11423952"
"cyprus","nicosia","9250","792604"
