"Wikipage page ID","Wikipage revision ID","label"
"46255397","683233575","Billy & the Kids"
"46818836","681177646","Blaak Heat"
"","","Blackalicious"
"47807102","681330745","Blended 328"
"46559749","","Bodi Bill"
"46810844","680687736","Bread of Stone"
"47654613","682979399","Bridge to Grace"
"47367352","","Brit Floyd"
"46703187","675427168","Brothers in Blood"
"46376609","","Brunettes Shoot Blondes"
"","","CELL セル"
"46956273","","CRUISR"
"45674127","681814236","Cadet Sisters"
"","","Call to Preserve"
"","","キャナァーリ倶楽部"
"","","Carrollton (band)"
"47870053","681913064","Chaartaar"
"","","Ching Chong Song"
"","","Claremont Shades"
"47829134","681357141","Club cheval"
