"&nbsp;3.","NULL","gregory the              great","NULL","po/d"
"&nbsp;8.","NULL","birth of              mary","NULL","(f)"
"&nbsp;9.","NULL","peter claver","NULL","pr (m)"
"13.","NULL","john              chrysostom","NULL","b/d (m)"
"14.","NULL","triumph of              the cross","NULL","(f)"
"15.","NULL","our lady of              sorrows","NULL","(m)"
"16.","NULL","cornelius","NULL","po/m"
"NULL","NULL","cyprian","NULL","b/m (m)"
"17.","NULL","robert              bellarmine","NULL","b/d"
"19.","NULL","januarius","NULL","b/m"
"20.","NULL","andrew kim              taegon","NULL","pr/m"
"NULL","NULL","paul chong              hasang and companions","NULL","m (m)"
"21.","NULL","matthew","NULL","ap/e (f)"
"25.","NULL","cosmas and              damian","NULL","m"
"27.","NULL","vincent de              paul","NULL","pr (m)"
"28.","NULL","wenceslaus","NULL","m"
"NULL","NULL","lawrence              ruiz and companions","NULL","m"
"29.","NULL","michael              gabriel and raphael archangels","NULL","(f)"
"30.","NULL","jerome","NULL","pr/d (m)"
