"a.","b.","c."
"abba","batman","captain john smith"
"academic","bamm-bamm (flinstones)","cabaret dancer"
"ace frehley (kiss)","bandleader","cabbage patch kid"
"adams family","barbarian","card (alice in wonderland)"
"airforce","barbie","carmen miranda"
"al capone","barney rubble","casper (ghost)"
"aladdin","batgirl (batman)","cat"
"ali baba","bathing belle","catwoman"
"alice in wonderland","b52s (pop group)","caveman/girl"
"angel","beatles","charlie chaplin"
"annie oakley","beatnik (60s)","charlies angels"
"apache","beetlejuice","charlston (20s)"
"arab","beetlelady","cheerleader"
"ariel (little mermaid)","bell boy","cherokee (indian)"
"asian","belle (beauty &amp; the beast)","cherub"
"aunty jack","belly dancer","chimney sweep"
"austin powers","betty boop","christmas characters"
"australian armyalien","betty rubble","cinderella"
"air hostess","bikie","cindi lauper"
"angus young (acdc)","blues bros","cleopatra"
"&nbsp;","bo peep","clergyman"
"&nbsp;","bob marley","clint eastwood"
"&nbsp;","bonnie","clown"
"&nbsp;","boone daniel","clyde"
"&nbsp;","braveheart","colonial"
"&nbsp;","bride","convict"
"&nbsp;","bucanneer","cool cat"
"&nbsp;","buddy holly","count dracula"
"&nbsp;","bullfighter","cowboy/cowgirl"
"&nbsp;","bumble bee","cpt cook"
"&nbsp;","butler","cpt hook"
"&nbsp;","bollywood","cow"
"&nbsp;","NULL","crocodile dundee"
"&nbsp;","&nbsp;","crocodile"
"&nbsp;","&nbsp;","cruella de ville"
"d.","e.","f."
"doctor","executioner","flamenco dancer"
"dairy maid","edna dame","fairy godmother"
"dame edna","explorer","fat bastard"
"daniel boone","elvis","fbi agent"
"darth vadar","elf","felicity shagwell"
"devil","elvira","feline"
"doll","elizabeth queen","felon"
"dolly parton","elton john","fester uncle"
"dorothy (oz)","evil dr","fifties (rock n roll)"
"dr evil","elle woods","fiona princess"
"dracula","&nbsp;","firefighter"
"dumbledore","&nbsp;","flapper"
"dwarf","&nbsp;","flinstones"
"donkey kong","&nbsp;","fortune teller"
"donatello (ninja turtle)","&nbsp;","freddie krueger"
"&nbsp;","&nbsp;","french maid"
"&nbsp;","&nbsp;","friar tuck"
"&nbsp;","&nbsp;","frehley ace (kiss) fire eater"
"g.","h.","i."
"gangster","haiwatha","idol"
"geisha girl","halloween pumpkin","imp"
"gene simmons (kiss)","hannah &nbsp;montana","indian"
"genie","harem girl","indy girl"
"german girl/boy","harlequin","irish leprecaun"
"gilligans island","harpo","incredibles"
"gladiator","hawaiian","&nbsp;"
"goldilocks","heide","&nbsp;"
"golliwog","hercules","&nbsp;"
"gomez","hermione","&nbsp;"
"gorilla","heroe super","&nbsp;"
"gothic","hippies","&nbsp;"
"grease","holmes sherlock","&nbsp;"
"grecian","hook cpt","&nbsp;"
"gretel","hooker","&nbsp;"
"grid iron player","hunter safari","&nbsp;"
"grim reaper","hugh heffner (playboy mansion)","&nbsp;"
"groucho marx","&nbsp;","&nbsp;"
"gwenda good witch","&nbsp;","&nbsp;"
"{gypsy|gunslinger (western)}","&nbsp;","&nbsp;"
"j.","k.","l."
"NULL","knight","luke skywalker"
"jack sparrow","king","lady beetle"
"jane (tarzan)","king kong","lara croft (tomb raider)"
"japanese","king neptune","lawrence of arabia"
"jason (friday 13th)","kiss","lecturer"
"jedi knight","koala","legally blonde"
"jester","ku klux","leprecaun"
"jesus","kylie mole","lily munster"
"jim carey","kill bill - the bride","little red riding hood"
"jimmy hendrix","&nbsp;","little bo peep"
"jockey","&nbsp;","little miss muffet"
"judge","&nbsp;","lucifer"
"julius caesar","&nbsp;","NULL"
"juliet (romeo)","&nbsp;","&nbsp;"
"judge judy","&nbsp;","&nbsp;"
"joker (batman)","&nbsp;","&nbsp;"
"john travolta","&nbsp;","&nbsp;"
"jack (titanic)","&nbsp;","&nbsp;"
"jungle","&nbsp;","&nbsp;"
"jesse (toy story)","&nbsp;","&nbsp;"
"m.","n.","o."
"mad axe man","napolean","obe 1"
"mad hatter","naval officer","olive oil"
"madam lash","neptune king","olivia newton john"
"mae west","nerd","oriental"
"mafia","ninja turtle","ozzie osbourne"
"magenta","nun","&nbsp;"
"magician","nurse","&nbsp;"
"magistrate","NULL","&nbsp;"
"maid","&nbsp;","&nbsp;"
"maid marion","&nbsp;","&nbsp;"
"marc antony","&nbsp;","&nbsp;"
"marilyn munroe","&nbsp;","&nbsp;"
"marx bros","&nbsp;","&nbsp;"
"mary poppins","&nbsp;","&nbsp;"
"matador","&nbsp;","&nbsp;"
"mauritian","&nbsp;","&nbsp;"
"medieval","&nbsp;","&nbsp;"
"middle eastern","p.","q."
"mermaid","punky brewster (80s)","queen"
"mexican","padre","queen of hearts"
"military","parlour maid","quaker"
"milk maid","patient","&nbsp;"
"minister","paul stanley (kiss)","&nbsp;"
"minnie &amp; micky mouse","peter chris (kiss)","&nbsp;"
"miss muffet","peter garrett (midnight oil)","&nbsp;"
"monk","peter pan","&nbsp;"
"monty python","phantom of the opera","&nbsp;"
"morticia","phantom (comic hero)","&nbsp;"
"mother hubbard","pierrot","&nbsp;"
"mother superior","pilot","&nbsp;"
"moulin rouge","pimp","&nbsp;"
"montana hannah","pink lady (grease)","&nbsp;"
"mrs clause","pinnochio","&nbsp;"
"munster lily","pirate","&nbsp;"
"muskateer","pixie","&nbsp;"
"mozart","playboy bunny","&nbsp;"
"&nbsp;","pocahontas","&nbsp;"
"&nbsp;","policeman/woman","&nbsp;"
"&nbsp;","pop star","&nbsp;"
"&nbsp;","popeye","&nbsp;"
"&nbsp;","poppins mary","&nbsp;"
"&nbsp;","potter harry","&nbsp;"
"&nbsp;","prehistoric","&nbsp;"
"&nbsp;","primate","&nbsp;"
"&nbsp;","poison ivypebbles (flinstones)","&nbsp;"
"&nbsp;","prince","&nbsp;"
"&nbsp;","princess","&nbsp;"
"&nbsp;","princess leia","&nbsp;"
"&nbsp;","prisoner","&nbsp;"
"&nbsp;","prof mc gonagall","&nbsp;"
"&nbsp;","professor","&nbsp;"
"&nbsp;","pickaninny","&nbsp;"
"&nbsp;","punk","&nbsp;"
"&nbsp;","pupil","&nbsp;"
"&nbsp;","puss n boots","&nbsp;"
"&nbsp;r.","&nbsp;s.","&nbsp;t."
"raja (indian)","sailor","tarzan"
"rabbit","sailor moon","tina turner"
"raggedy ann","NULL","tinkerbell"
"rose (titanic)","saloon girl","titanic"
"rambo","santa","togas"
"red indian","santas helper","train driver"
"red riding hood","satan","travolta john"
"rhapunzel","savage (indian)","troy"
"rhett butler","scarecrow (oz)","twenties"
"rio","scarlet o'hara","the bride (kill bill)"
"robin hood","schoolboy/girl","the incredibles"
"rock n roll","scottish","ticket girl"
"rod stewart","scream (horror movie)","&nbsp;"
"roman","senorita","&nbsp;"
"romeo","serving wench","&nbsp;"
"NULL","sheik","&nbsp;"
"&nbsp;","sheriff","&nbsp;"
"&nbsp;","sherlock holmes","&nbsp;"
"&nbsp;","shirley temple","&nbsp;"
"&nbsp;","shrek","&nbsp;"
"&nbsp;","surgeon","&nbsp;"
"&nbsp;","sister (nun)","&nbsp;"
"&nbsp;","sister ugly","&nbsp;"
"&nbsp;","skeleton","&nbsp;"
"&nbsp;","snow white","&nbsp;"
"&nbsp;","soldier","&nbsp;"
"&nbsp;","sonny bono (cher)","&nbsp;"
"&nbsp;","sorcerer","&nbsp;"
"&nbsp;","space","&nbsp;"
"&nbsp;","spiderman","&nbsp;"
"&nbsp;","squaw","&nbsp;"
"&nbsp;","star wars","&nbsp;"
"&nbsp;","steve irwin","&nbsp;"
"&nbsp;","stevie wonder","&nbsp;"
"&nbsp;","soda pop girl","&nbsp;"
"{&nbsp;|&nbsp;}","{supergirl|sumo wrestler}","&nbsp;"
"&nbsp;","superhero","&nbsp;"
"&nbsp;","superman","&nbsp;"
"&nbsp;","{supremes the|stevie nicks}","&nbsp;"
"u.","v.","w."
"ugly sister","viking - male","witch"
"uncle fester","viking - female","wednesday adams"
"undertaker","vampire","wench"
"uniforms","vampira","wendy"
"ugly betty","victorian","west mae"
"&nbsp;","village peope","western"
"&nbsp;","vixen","where's wally"
"&nbsp;","villan","wicked witch"
"&nbsp;","vadar darth","willy wonka"
"&nbsp;","venus - goddess","wilma (flinstones)"
"&nbsp;","&nbsp;","witch dr"
"&nbsp;","&nbsp;","wizard"
"&nbsp;","&nbsp;","woody (toy story)"
"&nbsp;","&nbsp;","wolf"
"&nbsp;","&nbsp;","{wonderwoman|whoopi goldberg}"
"x.","y.","z."
"xena&nbsp; - warrior princess","&nbsp;","zorro"
"&nbsp;","&nbsp;","zoooligist"
"&nbsp;","&nbsp;","&nbsp;"
