"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"2015–16 FC Dynamo Kyiv season","http://www.fcdynamo.kiev.ua/","47383049","683124919"
"ФК «Шериф» в сезоне 2015/2016","http://www.fc-sheriff.com/en/komanda/","47317350","683158376"
"2015–16 FC Terek Grozny season","http://fc-terek.ru/","47304725","683126449"
"2015–16 FK Qarabağ season","http://www.qarabagh.com/","46889672","683672248"
"2015–16 Galatasaray S.K. season","http://www.galatasaray.org","46846791","683980790"
"2015–16 Gimnàstic de Tarragona season","http://www.gimnasticdetarragona.com/cat2/es/","46857941","682192091"
"2015–16 Levante UD season","http://www.levanteud.com/","47305117","682597813"
"2015–16 MSV Duisburg season","http://www.msv-duisburg.de/","46795166","683849705"
"2015–16 Melbourne City W-League season","http://melbournecityfc.com.au/","47721875","683516991"
"2015–16 Melbourne Victory FC season","http://www.melbournevictory.com.au/","46697516","683753762"
"2015–16 Newcastle Jets FC season","http://www.newcastlejets.com.au/","46694119","682523301"
"2015–16 PFC CSKA Sofia season","http://www.uefa.com/footballeurope/club=50076/domestic.html","46898831","683435722"
"2015–16 Panathinaikos F.C. season","http://www.pao.gr/","46859160","683977508"
"2015–16 Perth Glory FC season","http://www.perthglory.com.au/","46693867","683764104"
"2015–16 Perth Glory W-League season","http://www.perthglory.com.au","47957397","683837482"
"2015–16 Real Betis season","http://www.realbetisbalompie.es/","47304954","683120022"
"موسم ريال مدريد 2015–16","http://www.realmadrid.com/en","45662918","683839364"
"2015–16 Real Sociedad season","http://www.realsociedad.com/","46980250","682070347"
"2015–16 Sloboda Užice season","http://www.superliga.rs/index.php?option=com_content&view=frontpage&Itemid=28","46976684","683988603"
"Vitesse in het seizoen 2015/16","http://www.vitesse.nl/","46282206","682850635"
