"label","birth place"
"B. J. McLeod","http://dbpedia.org/resource/Florida"
"Christopher Bell (racing driver)","http://dbpedia.org/resource/Oklahoma"
"Dylan Lupton",""
"Cole Pearn","http://dbpedia.org/resource/Ontario"
"Rollie MacDonald","http://dbpedia.org/resource/Pictou"
"Alex Tagliani",""
"Brent Raymer",""
"Brett Butler (racing driver)",""
"Burney Lamar",""
"Cale Conley",""
"Coo Coo Marlin",""
"Doc Faustina",""
"Gary Bettenhausen",""
"Jack Smith (racing driver)",""
"Rusty Wallace",""
"Ryan Newman",""
