"label","Wikipage page ID","Wikipage revision ID"
"Ġbejna","8173919","679147030"
"Pule","37891728","682172913"
"米利斯芝士","20615842","617405290"
"L'Etivaz","16187146","683604771"
"Abbey Cheese Company","",""
"Serpa cheese","42317821","602269949"
"Sussex Slipcote","28950149","624584468"
"Smoked cheese","6139025","664844105"
"Laguiole cheese","3482182","624022505"
"Queijo coalho","3322984","673926493"
"Rubing","3500637","589511109"
"Brewster Dairy","",""
"Burren Gold","",""
"Coolea Cheese","",""
"Saint Agur","",""
"Ácaro del queso","32622266","662367469"
"Obatzda","",""
"Chevington cheese","497334","646509738"
"Bleuchâtel","25719182","545822351"
"Brussels cheese","4547759","542395931"
