"Language","Location","Common&nbsp;name","PIER&nbsp;bibliographic&nbsp;reference","Comments"
"English","?","giant fern","? (0)","&nbsp;"
"English","?","king's fern","Meyer Jean-Yves (2000)&nbsp;(p.&nbsp;96)","&nbsp;"
"English","?","mule's-foot fern","? (0)","&nbsp;"
"Kosraean","Kosrae Island","kalme","Lorence David H./Flynn Timothy (2005)&nbsp;(p.&nbsp;14)","&nbsp;"
"Kwara&#145;ae","Solomon Islands","gwaegwae","Hancock I. R./Henderson C. P. (1988)&nbsp;(p.&nbsp;46)","&nbsp;"
"Maori (Cook Islands)","Rarotonga Island","ne&#145;e","Whistler W. A. (1984)&nbsp;(p.&nbsp;478)","&nbsp;"
"Niuean","Niue Island","palatao","Sykes W. R. (1970)&nbsp;(p.&nbsp;28)","&nbsp;"
"Palauan","Palau Islands (main island group)","bersarm","Falanruw Marjorie C./Maka Jean E./Cole Thomas G./Whitesell Craig D. (1990)","&nbsp;"
"Palauan","Palau Islands (main island group)","demarm","Raulerson L./Rinehart A. F./Falanruw M. C. (1996)&nbsp;(p.&nbsp;12)","&nbsp;"
"Palauan","Palau Islands (main island group)","dermarm","Fosberg F. R./Otobed D./Sachet M.-H./Oliver R. L./Powell D. A./Canfield J. E. (1980)&nbsp;(p.&nbsp;1)","&nbsp;"
"Pohnpeian","Pohnpei Island","paiwed","Herrera Katherine/Lorence David H./Flynn Timothy/Balick Michael J. (2010)&nbsp;(p.&nbsp;25)","&nbsp;"
"Pohnpeian","Pohnpei Island","paiwed pwetepwet","Herrera Katherine/Lorence David H./Flynn Timothy/Balick Michael J. (2010)&nbsp;(p.&nbsp;25)","&nbsp;"
"Pohnpeian","Pohnpei Island","payuit","Glassman S. F. (1952)&nbsp;(p.&nbsp;36)","Net District"
"Pohnpeian","Pohnpei Island","umpai","Glassman S. F. (1952)&nbsp;(p.&nbsp;36)","Kiti District"
"Samoan","American Samoa Islands","nase","Whistler W. A. (1984)&nbsp;(p.&nbsp;478)","&nbsp;"
"Samoan","Ta&#145;u Island","oli oli","Yuncker T. G. (1945)&nbsp;(p.&nbsp;15)","&nbsp;"
"Samoan","Tutuila Island","oli oli","Setchell William Albert (1924)&nbsp;(p.&nbsp;121)","&nbsp;"
"Samoan","Western Samoa Islands","nase","Whistler W. A. (1984)&nbsp;(p.&nbsp;478)","&nbsp;"
"Tahitian","Tahiti Island","nahe","Whistler W. A. (1984)&nbsp;(p.&nbsp;478)","&nbsp;"
"Tongan","&#145;Eua Island","hulufe vai","Whistler W. A. (1991)&nbsp;(p.&nbsp;48)","&nbsp;"
"Tongan","Tonga Islands","hulufe tano","Whistler W. A. (1991)&nbsp;(p.&nbsp;48)","&nbsp;"
"Tongan","Tonga Islands","ponga","Yuncker T. G. (1959)&nbsp;(p.&nbsp;19)","&nbsp;"
"Yapese","Yap (Waqab) Island","mong","? (0)","&nbsp;"
"Yapese","Yap (Waqab) Island","mongmong","? (0)","&nbsp;"
