"label","Wikipage page ID"
"Dominic Balli","46820459"
"Donna's Dream House","47734392"
"Doorstep delivery","45670788"
"DoppioTV","47888308"
"Dorm Company Corporation","47997323"
"ドス・サントス：アンティ-ビート・オルケスタ","46790259"
"Downtown Boys (band)",""
"Doxa Lefkadas B.C.","47688934"
"Dr. A. Q. Khan Institute of Computer Sciences and Information Technology",""
"Dr. Peters","46474260"
"DraftKings","47300879"
"Dragon Computer & Communication","46469402"
"Drini FK 2004","46875748"
"Dropshard","47936904"
"Druxy's","46269140"
"Dubai Design District","46804248"
"Dubai Holding Group","47745683"
"Hermandad Druida Dun Ailline","46465561"
"Dune Rats","47346164"
"Durango Rugby Taldea","46827424"
