"Employer","Industry","{No.|Jobs}","Reason","{Effective|To Q/Yr}","Location"
"City of Hartford","State + Local Gov","57","Cost cut","2/02","Hartford"
"Anderson Acc.","Business services","311","Closed","3/02","Hartford"
"Aetna","Insurance","300","Cost cut","4/03","Hartford"
"SoNewEngTele","Utility","300","Cost cut","4/02","Statewide"
"Frieda Hair Care","Chemicals","60","Merger","4/02","Wilton"
"Handy &amp; Harman","Fab Metals","200","Closed","4/02","Fairfield"
"Ames","Retail","1421","Closed","4/02","Statewide"
"Bridgeport Machines","Electrical Equip","140","Closed","3/02","Bridgeport"
"Lantronix","Electrical Equip","30","Slow Bus","4/02","Milford"
"Hassler","Bus Services","63","Relocation","4/02","Shelton"
"Howmet Castings","Engine parts","30","Slow Bus","3/02","Winsted"
"Cigna","Insurance","56","Slow Bus","3/02","Bristol"
"Bayer","Pharmaceuticals","450","Relocation","4/03","West Haven"
"Stamford Health","Health Care","35","Cost Cut","3/02","Stamford"
"Kaman","Aerospace","390","Closed","4/03","Moodus"
"Envirotest","Emissions Test","490","Closed","2/02","Statewide"
"Trilegiant","Services","60","Cost cut","3/02","Trumbull"
"Pratt &amp; Whitney","Aerospace","127","Cost cut","2/02","Statewide"
"Computer Sciences","Bus Services","165","Cost cut","4/02","E.Hartford"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"??? Totals:???????","19 Firms","4689","&nbsp;","&nbsp;","&nbsp;"
