"country and currency","currency code","graphic image","font: code2000","font: arial unicode ms","unicode: decimal","unicode: hex","&nbsp;"
"albania lek","all","NULL","&#76;&#101;&#107;","&#76;&#101;&#107;","76 101 107","4c 65 6b","&nbsp;"
"afghanistan afghani","afn","NULL","&#1547;","&#1547;","1547","60b","&nbsp;"
"argentina peso","ars","NULL","&#36;","&#36;","36","24","info"
"aruba guilder","awg","NULL","&#402;","&#402;","402","192","&nbsp;"
"australia dollar","aud","NULL","&#36;","&#36;","36","24","&nbsp;"
"azerbaijan new manat","azn","NULL","&#1084;&#1072;&#1085;","&#1084;&#1072;&#1085;","1084 1072 1085","43c 430 43d","&nbsp;"
"bahamas dollar","bsd","NULL","&#36;","&#36;","36","24","&nbsp;"
"barbados dollar","bbd","NULL","&#36;","&#36;","36","24","&nbsp;"
"belarus ruble","byr","NULL","&#112;&#46;","&#112;&#46;","112 46","70 2e","&nbsp;"
"belize dollar","bzd","NULL","&#66;&#90;&#36;","&#66;&#90;&#36;","66 90 36","42 5a 24","&nbsp;"
"bermuda dollar","bmd","NULL","&#36;","&#36;","36","24","&nbsp;"
"bolivia boliviano","bob","NULL","&#36;&#98;","&#36;&#98;","36 98","24 62","&nbsp;"
"bosnia and herzegovina convertible marka","bam","NULL","&#75;&#77;","&#75;&#77;","75 77","4b 4d","&nbsp;"
"botswana pula","bwp","NULL","&#80;","&#80;","80","50","&nbsp;"
"bulgaria lev","bgn","NULL","&#1083;&#1074;","&#1083;&#1074;","1083 1074","43b 432","&nbsp;"
"brazil real","brl","NULL","&#82;&#36;","&#82;&#36;","82 36","52 24","info"
"brunei darussalam dollar","bnd","NULL","&#36;","&#36;","36","24","&nbsp;"
"cambodia riel","khr","NULL","&#6107;","&#6107;","6107","17db","&nbsp;"
"canada dollar","cad","NULL","&#36;","&#36;","36","24","&nbsp;"
"cayman islands dollar","kyd","NULL","&#36;","&#36;","36","24","&nbsp;"
"chile peso","clp","NULL","&#36;","&#36;","36","24","info"
"china yuan renminbi","cny","NULL","&#165;","&#165;","165","a5","info"
"colombia peso","cop","NULL","&#36;","&#36;","36","24","&nbsp;"
"costa rica colon","crc","NULL","&#8353;","&#8353;","8353","20a1","&nbsp;"
"croatia kuna","hrk","NULL","&#107;&#110;","&#107;&#110;","107 110","6b 6e","&nbsp;"
"cuba peso","cup","NULL","&#8369;","&#8369;","8369","20b1","&nbsp;"
"czech republic koruna","czk","NULL","&#75;&#269;","&#75;&#269;","75 269","4b 10d","&nbsp;"
"denmark krone","dkk","NULL","&#107;&#114;","&#107;&#114;","107 114","6b 72","info"
"dominican republic peso","dop","NULL","&#82;&#68;&#36;","&#82;&#68;&#36;","82 68 36","52 44 24","&nbsp;"
"east caribbean dollar","xcd","NULL","&#36;","&#36;","36","24","&nbsp;"
"egypt pound","egp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"el salvador colon","svc","NULL","&#36;","&#36;","36","24","&nbsp;"
"estonia kroon","eek","NULL","&#107;&#114;","&#107;&#114;","107 114","6b 72","&nbsp;"
"euro member countries","eur","NULL","&#8364;","&#8364;","8364","20ac","&nbsp;"
"falkland islands (malvinas) pound","fkp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"fiji dollar","fjd","NULL","&#36;","&#36;","36","24","&nbsp;"
"ghana cedis","ghc","NULL","&#162;","&#162;","162","a2","&nbsp;"
"gibraltar pound","gip","NULL","&#163;","&#163;","163","a3","&nbsp;"
"guatemala quetzal","gtq","NULL","&#81;","&#81;","81","51","&nbsp;"
"guernsey pound","ggp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"guyana dollar","gyd","NULL","&#36;","&#36;","36","24","&nbsp;"
"honduras lempira","hnl","NULL","&#76;","&#76;","76","4c","&nbsp;"
"hong kong dollar","hkd","NULL","&#36;","&#36;","36","24","info"
"hungary forint","huf","NULL","&#70;&#116;","&#70;&#116;","70 116","46 74","&nbsp;"
"iceland krona","isk","NULL","&#107;&#114;","&#107;&#114;","107 114","6b 72","&nbsp;"
"india rupee","inr","NULL","NULL","NULL","NULL","NULL","info"
"indonesia rupiah","idr","NULL","&#82;&#112;","&#82;&#112;","82 112","52 70","&nbsp;"
"iran rial","irr","NULL","&#65020;","&#65020;","65020","fdfc","&nbsp;"
"isle of man pound","imp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"israel shekel","ils","NULL","&#8362;","&#8362;","8362","20aa","&nbsp;"
"jamaica dollar","jmd","NULL","&#74;&#36;","&#74;&#36;","74 36","4a 24","&nbsp;"
"japan yen","jpy","NULL","&#165;","&#165;","165","a5","info"
"jersey pound","jep","NULL","&#163;","&#163;","163","a3","&nbsp;"
"kazakhstan tenge","kzt","NULL","&#1083;&#1074;","&#1083;&#1074;","1083 1074","43b 432","&nbsp;"
"korea (north) won","kpw","NULL","&#8361;","&#8361;","8361","20a9","&nbsp;"
"korea (south) won","krw","NULL","&#8361;","&#8361;","8361","20a9","&nbsp;"
"kyrgyzstan som","kgs","NULL","&#1083;&#1074;","&#1083;&#1074;","1083 1074","43b 432","&nbsp;"
"laos kip","lak","NULL","&#8365;","&#8365;","8365","20ad","&nbsp;"
"latvia lat","lvl","NULL","&#76;&#115;","&#76;&#115;","76 115","4c 73","&nbsp;"
"lebanon pound","lbp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"liberia dollar","lrd","NULL","&#36;","&#36;","36","24","&nbsp;"
"lithuania litas","ltl","NULL","&#76;&#116;","&#76;&#116;","76 116","4c 74","&nbsp;"
"macedonia denar","mkd","NULL","&#1076;&#1077;&#1085;","&#1076;&#1077;&#1085;","1076 1077 1085","434 435 43d","&nbsp;"
"malaysia ringgit","myr","NULL","&#82;&#77;","&#82;&#77;","82 77","52 4d","&nbsp;"
"mauritius rupee","mur","NULL","&#8360;","&#8360;","8360","20a8","&nbsp;"
"mexico peso","mxn","NULL","&#36;","&#36;","36","24","info"
"mongolia tughrik","mnt","NULL","&#8366;","&#8366;","8366","20ae","&nbsp;"
"mozambique metical","mzn","NULL","&#77;&#84;","&#77;&#84;","77 84","4d 54","&nbsp;"
"namibia dollar","nad","NULL","&#36;","&#36;","36","24","&nbsp;"
"nepal rupee","npr","NULL","&#8360;","&#8360;","8360","20a8","&nbsp;"
"netherlands antilles guilder","ang","NULL","&#402;","&#402;","402","192","&nbsp;"
"new zealand dollar","nzd","NULL","&#36;","&#36;","36","24","&nbsp;"
"nicaragua cordoba","nio","NULL","&#67;&#36;","&#67;&#36;","67 36","43 24","&nbsp;"
"nigeria naira","ngn","NULL","&#8358;","&#8358;","8358","20a6","&nbsp;"
"korea (north) won","kpw","NULL","&#8361;","&#8361;","8361","20a9","&nbsp;"
"norway krone","nok","NULL","&#107;&#114;","&#107;&#114;","107 114","6b 72","&nbsp;"
"oman rial","omr","NULL","&#65020;","&#65020;","65020","fdfc","&nbsp;"
"pakistan rupee","pkr","NULL","&#8360;","&#8360;","8360","20a8","&nbsp;"
"panama balboa","pab","NULL","&#66;&#47;&#46;","&#66;&#47;&#46;","66 47 46","42 2f 2e","&nbsp;"
"paraguay guarani","pyg","NULL","&#71;&#115;","&#71;&#115;","71 115","47 73","&nbsp;"
"peru nuevo sol","pen","NULL","&#83;&#47;&#46;","&#83;&#47;&#46;","83 47 46","53 2f 2e","info"
"philippines peso","php","NULL","&#8369;","&#8369;","8369","20b1","&nbsp;"
"poland zloty","pln","NULL","&#122;&#322;","&#122;&#322;","122 322","7a 142","&nbsp;"
"qatar riyal","qar","NULL","&#65020;","&#65020;","65020","fdfc","&nbsp;"
"romania new leu","ron","NULL","&#108;&#101;&#105;","&#108;&#101;&#105;","108 101 105","6c 65 69","&nbsp;"
"russia ruble","rub","NULL","&#1088;&#1091;&#1073;","&#1088;&#1091;&#1073;","1088 1091 1073","440 443 431","info"
"saint helena pound","shp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"saudi arabia riyal","sar","NULL","&#65020;","&#65020;","65020","fdfc","&nbsp;"
"serbia dinar","rsd","NULL","&#1044;&#1080;&#1085;&#46;","&#1044;&#1080;&#1085;&#46;","1044 1080 1085 46","414 438 43d 2e","&nbsp;"
"seychelles rupee","scr","NULL","&#8360;","&#8360;","8360","20a8","&nbsp;"
"singapore dollar","sgd","NULL","&#36;","&#36;","36","24","&nbsp;"
"solomon islands dollar","sbd","NULL","&#36;","&#36;","36","24","&nbsp;"
"somalia shilling","sos","NULL","&#83;","&#83;","83","53","&nbsp;"
"south africa rand","zar","NULL","&#82;","&#82;","82","52","&nbsp;"
"korea (south) won","krw","NULL","&#8361;","&#8361;","8361","20a9","&nbsp;"
"sri lanka rupee","lkr","NULL","&#8360;","&#8360;","8360","20a8","&nbsp;"
"sweden krona","sek","NULL","&#107;&#114;","&#107;&#114;","107 114","6b 72","info"
"switzerland franc","chf","NULL","&#67;&#72;&#70;","&#67;&#72;&#70;","67 72 70","43 48 46","&nbsp;"
"suriname dollar","srd","NULL","&#36;","&#36;","36","24","&nbsp;"
"syria pound","syp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"taiwan new dollar","twd","NULL","&#78;&#84;&#36;","&#78;&#84;&#36;","78 84 36","4e 54 24","info"
"thailand baht","thb","NULL","&#3647;","&#3647;","3647","e3f","&nbsp;"
"trinidad and tobago dollar","ttd","NULL","&#84;&#84;&#36;","&#84;&#84;&#36;","84 84 36","54 54 24","&nbsp;"
"turkey lira","try","NULL","&#84;&#76;","&#84;&#76;","84 76","54 4c","&nbsp;"
"turkey lira","trl","NULL","&#8356;","&#8356;","8356","20a4","&nbsp;"
"tuvalu dollar","tvd","NULL","&#36;","&#36;","36","24","&nbsp;"
"ukraine hryvna","uah","NULL","&#8372;","&#8372;","8372","20b4","&nbsp;"
"united kingdom pound","gbp","NULL","&#163;","&#163;","163","a3","&nbsp;"
"united states dollar","usd","NULL","&#36;","&#36;","36","24","&nbsp;"
"uruguay peso","uyu","NULL","&#36;&#85;","&#36;&#85;","36 85","24 55","&nbsp;"
"uzbekistan som","uzs","NULL","&#1083;&#1074;","&#1083;&#1074;","1083 1074","43b 432","&nbsp;"
"venezuela bolivar fuerte","vef","NULL","&#66;&#115;","&#66;&#115;","66 115","42 73","&nbsp;"
"viet nam dong","vnd","NULL","&#8363;","&#8363;","8363","20ab","&nbsp;"
"yemen rial","yer","NULL","&#65020;","&#65020;","65020","fdfc","&nbsp;"
