"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"45712008","Fokus (newspaper)","http://fokus.mk/","653832948"
"46815172","Food and Nutrition Bulletin","",""
"47316471","For Heaven's Sake (play)","http://www.forheavenssaketheplay.com","683815446"
"","Foreign Trade of the DPRK","",""
"47671444","Forensic Science International","","679747336"
"47674326","Forensic Science International: Genetics","","678676817"
"","Forschende Komplementärmedizin","",""
"46607280","Foundations and Trends in Econometrics","",""
"","Freizeit Revue","",""
"","Freundin (Zeitschrift)","",""
"","Funk Uhr","",""
"46636286","Future Medicinal Chemistry","",""
"46634531","Future Oncology","",""
"46634664","Future Virology","",""
"","Fūka (manga)","",""
"45652772","GAIA (Zeitschrift)","http://www.gaia-online.net","653887911"
"","Garaj Komik","",""
"","Gastrointestinal Endoscopy","",""
"46800763","Gaylord Herald Times","http://www.petoskeynews.com/gaylord/","664222894"
"47683715","Gender, Place & Culture: A Journal of Feminist Geography","","678896473"
