"Draw","Country","Language","Artist","Song","English translation","Place","Points"
"01","&nbsp;Montenegro","English","Andrea Demirovi?","Just Get Out of My Life","?","11","44"
"02","&nbsp;Czech Republic","{English|Romani}","Gipsy.cz","Aven Romale","Come in gypsies","18","0"
"03","&nbsp;Belgium","English","Patrick Ouch?ne","Copycat","?","17","1"
"04","&nbsp;Belarus","English","Petr Elfimov","Eyes That Never Lie","?","13","25"
"05","&nbsp;Sweden","{English|French}","Malena Ernman","La voix","The voice","4","105"
"06","&nbsp;Armenia","{English|Armenian}","Inga and Anush","Jan Jan (??? ???)","My dear","5","99"
"07","&nbsp;Andorra","{English|Catalan}","Susanne Georgi","La teva decisi? (Get a Life)","Your decision","15","8"
"08","&nbsp;Switzerland","English","Lovebugs","The Highest Heights","?","14","15"
"09","&nbsp;Turkey","English","Hadise","D?m Tek Tek","? [A]","2","172"
"10","&nbsp;Israel","{English|Hebrew|Arabic}","{Noa|Mira Awad}","There Must Be Another Way","?","7","75"
"11","&nbsp;Bulgaria","English","Krassimir Avramov","Illusion","?","16","7"
"12","&nbsp;Iceland","English","{Yohanna|[44]}","Is It True?","?","1","174"
"13","&nbsp;Macedonia","Macedonian","Next Time","Neshto shto ke ostane(????? ??? ?? ??????)","Something that will remain","10","45"
"14","&nbsp;Romania","English","Elena","The Balkan Girls","?","9","67"
"15","&nbsp;Finland","English","Waldo's People","Lose Control","?","12","42"
"16","&nbsp;Portugal","Portuguese","Flor-de-Lis","Todas as ruas do amor","All the streets of love","8","70"
"17","&nbsp;Malta","English","Chiara","What If We","?","6","86"
"18","&nbsp;Bosnia and Herzegovina","{Bosnian|[45]|[46]}","Regina","Bistra voda","Clear water","3","125"
