"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Victory Hotel","47686177","678948013","http://www.thevictory.com.au"
"Vijaipura","47668477","680514761","https://www.facebook.com/pages/VIJAIPURA/205631776146069?ref=bookmarks"
"Vila Olímpica","47936783","683153713","http://www.atletico.com.br/clube-atletico-mineiro/clubes/vila-olimpica"
"Voluntary Health Services","","",""
"Wabma Kadarbu Mound Springs Conservation Park","","",""
"Wadia Park Ground","47731016","679628063",""
"Wall Centre (Vancouver)","47916865","682598079","http://www.wallcentre.com/"
"Walter Burley Griffin Incinerator","46783335","671225020","http://www.ipswichlittletheatre.com.au/"
"Warbirds and Wheels, Wanaka","46236635","668331791",""
"Warley Woods","45655024","651808759","http://www.warleywoods.org.uk/"
"Warwick Central State School","46735825","671224504","http://www.warwcentss.eq.edu.au/"
"Warwick Court House","46753317","671224506","https://www.qld.gov.au/law/court/courts/courthouse-locations/view/?title=Warwick+Magistrates+Court"
"Warwick East State School","46736412","671224509","https://warweastss.eq.edu.au/"
"Warwick Town Hall","46735627","683583185","http://www.sdrc.qld.gov.au/page/Council_Services/Public_Halls__Meeting_Rooms/Warwick_Town_Hall"
"Warwick Uniting Church","46734839","671224527","http://warwickkillarneyuniting.org.au/"
"Welford Congregational Church","47983464","683635654","http://www.congregational.org.uk/find-a-church/church-finder/126/welford"
"West Knoyle","47006221","670395312","http://www.westknoyle.co.uk/"
"Western Railway Stadium","47722911","679487355","http://www.espncricinfo.com/india/content/ground/57940.html"
"Westshore Velodrome","46183784","671710503","http://www.gvva.bc.ca/"
"White Horse Hotel, Surry Hills","47925214","682808415","http://www.thewhitehorse.com.au"
