"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46846779","677471801","St Luke's Church, Wallsend","http://www.achurchnearyou.com/wallsend-st-luke/"
"46304687","672937608","St Mark's Anglican Church and Dunwich Public Hall","http://www.anglicanchurchsq.org.au/connect/136-stradbroke-island-parish"
"46271955","654700614","St Mark's Church, Derby","http://www.stphilipschaddesden.co.uk"
"46250329","653889291","St Martin's Church, Parkfields, Wolverhampton",""
"45675314","661818822","St Mary's Catholic Church, Williamstown","http://www.cam.org.au/williamstown"
"46439192","678623083","St Mary's Church, Ilkeston","http://stmarysilkeston.co.uk/"
"46378298","660078985","St Mary's Church, Tissington","http://peakfive.org"
"47977472","683961880","St Mary's Parish Church, Slough","http://www.stmarys-slough.org.uk/"
"47977914","683897844","St Mary & All Saints' Church, Holcot","http://www.holcotvillage.co.uk/the-parish-church-of-st-mary-and-all-saints/"
"46900789","","St Mary with St Alban",""
"46958395","671224969","St Marys Roman Catholic Church, Ipswich","http://www.stmarysipswich.org.au"
"46257353","654064113","St Matthew's Church, Wolverhampton","http://stmatthewswolves.com"
"47816448","681525198","St Michael and All Angels' Church, East Coker","http://www.eastcokerchurch.org.uk/"
"46339998","672851740","St Michael with St Mary's Church, Melbourne","http://www.melbourneparishchurch.org.uk/"
"45678599","667370398","St Nicholas' Church, Elmdon",""
"47797471","680740343","St Nicholas, Moreton","http://www.stnicholasmoreton.org.uk"
"46971935","671812747","St Oswald's Church, Maybole",""
"45719548","670404711","St Paul's Church, Hamstead",""
"46311919","655324176","St Paul's Church, Little Eaton","http://www.littleeatonchurch.co.uk"
"46596978","660595072","St Paul Malmesbury Without","http://www.stpaulmalmesburywithoutparishcouncil.org.uk/"
