"Main Features","Main Features","Main Features"
"&nbsp;","Year built","1998"
"&nbsp;","Living space","Approximately 97&nbsp;sqm"
"&nbsp;","Lot size","500&nbsp;m&sup2;"
"&nbsp;","Number of rooms","4"
"&nbsp;","Number of levels","1"
"&nbsp;","Enclosed land?","Yes"
"&nbsp;","Exposure","East"
"Rooms","Rooms","Rooms"
"&nbsp;","Living room","20&nbsp;sqm"
"&nbsp;","Kitchen","Fitted and equipped"
"&nbsp;","Bedrooms","2"
"&nbsp;","Bathrooms","1"
"&nbsp;","Shower rooms","1"
"Technical information","Technical information","Technical information"
"&nbsp;","Heating system","Individual"
"&nbsp;","Energy","Electric"
"&nbsp;","Type of heating","Convector heaters"
"Financial information","Financial information","Financial information"
"&nbsp;","Ad poster's currency","EUR"
"&nbsp;","Furnished?","Yes"
"&nbsp;","Available","16/01/2012"
"&nbsp;","Vacant/rented?","Vacant"
