"label","Wikipage page ID"
"North Oak Park","46572756"
"Northeast Frontier Railway Stadium","47721492"
"Northern Railway Stadium",""
"Osmania College Ground","47717666"
"PalaPentassuglia","47893117"
"PalaTrento","47877473"
"Palace of Youth and Sports","46183190"
"Palais 12","46177289"
"Pazo dos Deportes Paco Paz","46890692"
"Poly Wells Field","46571874"
"Poona Gymkhana Ground",""
"Port Trust Diamond Jubilee Stadium",""
"RN Shetty Stadium",""
"SFA Softball Field","46565225"
"Sadar Bazar Stadium",""
