"Song","Original Name","Language","Singer(s)","Country"
"Ty i Ja","Right Here Right Now","Polish","Hania Stach &amp; ?ukasz Zagrobelny","Poland"
"Just H?r Just Nu","Right Here Right Now","Swedish","Brandur &amp; Molly Sand?n","Sweden"
"Lige Her Og Nu","Right Here Right Now","Danish","Simon Mathew &amp; Rebekka Mathew","Denmark"
"?????? ???? (Mikro? Theo?)","Right Here Right Now","Greek","{Kostas Martakis|Shaya}","Greece"
"Itt ?s Most","Right Here Right Now","Hungarian","D?sa M?ty?s &amp; Sz?les Izabella","Hungary"
"Chiar Aici Chiar Acum","Right Here Right Now","Romanian","C?t?lin Josan &amp; Giulia","Romania"
"Eu S? Quero Estar Com Voc?","Just Wanna Be With You","Portuguese","Renata &amp; Olavo (High School Musical: A Sele??o)","Brazil"
"Yo Contigo Quiero Estar","Just Wanna Be With You","Spanish","Mariana &amp; Cristobal (High School Musical: El Desaf?o)","Mexico"
"Yo Contigo Quiero Estar","Just Wanna Be With You","Spanish","Fernando &amp; Agustina (High School Musical: El Desaf?o)","Argentina"
"Grido","Scream","Italian","Jacopo Sarno","Italy"
"Vivre Ma Vie","Walk Away","French","Amel Bent","France"
