"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"46628836","http://sdvelodrome.com","661134924","San Diego Velodrome"
"47036086","http://www.sokcho.gangwon.kr/hb/home/sub04_01_04","667926607","Sokcho Stadium"
"47763218","http://www.espncricinfo.com/southafrica/content/ground/59196.html","680172121","Soweto Cricket Oval"
"47727850","http://www.espncricinfo.com/india/content/ground/57968.html","679580732","Sunshine Ground"
"","","","Tau Devi Lal Cricket Stadium"
"","","","Tissot Arena"
"47725600","","679634855","Town Planning Authority Ground"
"47697950","","","University Teaching Department Ground"
"47774998","","680363733","University of Tartu Sports Hall"
"","","","ВТБ Ледовый дворец"
"47731016","","679628063","Wadia Park Ground"
"47722911","http://www.espncricinfo.com/india/content/ground/57940.html","679487355","Western Railway Stadium"
"46183784","http://www.gvva.bc.ca/","671710503","Westshore Velodrome"
"47530012","http://badmintonasia.org/who-we-are/member-associations/south-asia/india/","676306667","Babu Banarasi Das Indoor Stadium"
"47076146","http://fc.cheonan.go.kr/new/index.asp","681063790","Cheonan Football Center"
"","","","DSK Shivajians Ground"
"","","","Dhyanchand Stadium"
"47618643","http://www.espncricinfo.com/india/content/ground/57966.html","677757318","Dr. Ambedkar Stadium"
"47640011","http://www.espncricinfo.com/blank/content/ground/58245.html","679545883","International Cricket Stadium"
"47189161","http://www.mladost-sport.hr/","679744689","Mladost Hall"
