"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://www.sabandits.com/","683098594","46648826","2015 San Angelo Bandits season"
"http://skybluefc.com","683012972","46466906","2015 Sky Blue FC season"
"http://gamecocksonline.cstv.com/sports/m-basebl/scar-m-basebl-body-main.html","682486283","45685818","2015 South Carolina Gamecocks baseball team"
"http://www.tfc2.ca/","682710804","46180017","2015 Toronto FC II season"
"http://www.uclabruins.com/","667590223","46796595","2015 UCLA Bruins baseball team"
"http://www.valur.is","683535545","46563688","2015 Valur season"
"http://washingtonspirit.com","683013053","46477506","2015 Washington Spirit season"
"http://wnyflash.com","683013136","46451063","2015 Western New York Flash season"
"http://www.wichitaforce.com/","683645193","46670416","2015 Wichita Force season"
"http://www.bundesliga.de","683930464","46746848","2. Fußball-Bundesliga 2015/16"
"http://www.y-league.com.au","683744874","47989046","2015–16 A-League National Youth League"
"http://www.fshf.org/","683497706","46878440","Kategoria Superiore 2015/16"
"http://en.clubatleticodemadrid.com/","683757033","46835595","Saison 2015-2016 de l'Atlético Madrid"
"http://www.bundesliga.at/index.php?id=433","683994953","46921518","Österreichische Fußballmeisterschaft 2015/16"
"http://www.pitchero.com/clubs/bangorcityfc","683928034","46654958","2015–16 Bangor City F.C. season"
"http://www.bfv.de/cms/index.html","681647847","46994422","Fußball-Bayernliga 2015/16"
"http://www.brisbaneroar.com.au/","683528714","46401039","2015–16 Brisbane Roar FC season"
"http://www.bundesliga.com","683969384","45672987","Fußball-Bundesliga 2015/16"
"http://www.motagua.com/","683452283","46830827","2015–16 C.D. Motagua season"
"http://www.ccmariners.com.au/","682870097","46500475","2015–16 Central Coast Mariners FC season"
