"Geburtsort","label","Sterbedatum","Sterbeort","death place"
"http://dbpedia.org/resource/Altlandsberg","Hans Buchholz","1941-05-19","http://dbpedia.org/resource/Atlantic_Ocean","http://dbpedia.org/resource/Atlantic_Ocean"
"http://dbpedia.org/resource/Providence,_Rhode_Island","Harold G. Bowen, Sr.","1965-08-01","http://dbpedia.org/resource/Providence,_Rhode_Island","http://dbpedia.org/resource/Providence,_Rhode_Island"
"","Harry Harpham","","",""
"http://dbpedia.org/resource/Pennsylvania","Harry Kramer (American artist)","","",""
"","Harry Stine (businessman)","","",""
"http://dbpedia.org/resource/United_Kingdom","Harshi Mad","","",""
"http://dbpedia.org/resource/Adachi,_Tokyo","波瑠","","",""
"http://dbpedia.org/resource/Aichi_Prefecture","Haruka (model)","","",""
"http://dbpedia.org/resource/Miyazaki_Prefecture","兒玉遥","","",""
"http://dbpedia.org/resource/Colquitt,_Georgia","Heath McNease","","",""
"http://dbpedia.org/resource/Jamaica","Heather Foster","","",""
"","Heather Russell","","",""
"","Heide Banks","","",""
"http://dbpedia.org/resource/Graz","Helmut Kollars","","",""
"http://dbpedia.org/resource/Tokyo","ヒロイズム","","",""
"","Herma Hill Kay","","",""
"http://dbpedia.org/resource/Osaka_Prefecture","多和田秀弥","","",""
"http://dbpedia.org/resource/Accra","Hilda Akua","","",""
"http://dbpedia.org/resource/Kristiansand","Hilde Hefte","","",""
"http://dbpedia.org/resource/Lisbon","Hildeberto Pereira","","",""
