"Wikipage revision ID","label","Wikipage page ID"
"671076996","Petherton Resource Centre","45410194"
"671649203","菲臘牙科醫院","47234918"
"","Queen Elizabeth University Hospital","47109054"
"","Randolph Wemyss Memorial Hospital",""
"650890362","Rockhampton Base Hospital","45511908"
"676282445","St. Charles Parish Hospital","47483792"
"676236389","TEDA Hospital","47514069"
"676240705","泰达国际心血管病医院","47527687"
"","University Medical Center New Orleans",""
"671086756","Vale of Leven Hospital","47117136"
"","Winship Cancer Institute",""
"682400145","Aster Medcity","47153039"
"","Bartlett Regional Hospital",""
"","Nelson Mandela Children's Hospital","47255301"
"683931513","The Cabin Sydney","47929605"
"683423801","Chang Gung Medical Foundation","47708388"
"681359048","Cliffside Malibu","47329696"
"","Duane L. Waters Hospital","47351807"
"683480872","Hospital Universitario Puerta del Mar","47979339"
"675252381","University of Ghana Teaching Hospital","47112718"
