"A - Premium","A - Premium","Base Fee","HST","Total"
"Electrical","Regular","$40.71","$5.29","$46.00"
"Electrical","Ontario Senior","$32.52","$4.23","$36.75"
"Electrical","Ont. Persons with Disabilities","$20.35","$2.65","$23.00"
"Non-electrical","Regular","$35.84","$4.66","$40.50"
"Non-electrical","Ontario Senior","$28.76","$3.74","$32.50"
"Non-electrical","Ont. Persons with Disabilities","$17.92","$2.33","$20.25"
"Non-electrical without showers","Regular","$34.51","$4.49","$39.00"
"Non-electrical without showers","Ontario Senior","$27.65","$3.60","$31.25"
"Non-electrical without showers","Ont. Persons with Disabilities","$17.04","$2.21","$19.25"
"B - Middle","B - Middle","Base Fee","HST","Total"
"Electrical","Regular","$37.39","$4.86","$42.25"
"Electrical","Ontario Senior","$29.87","$3.88","$33.75"
"Electrical","Ont. Persons with Disabilities","$18.58","$2.42","$21.00"
"Non-electrical","Regular","$32.52","$4.23","$36.75"
"Non-electrical","Ontario Senior","$26.11","$3.39","$29.50"
"Non-electrical","Ont. Persons with Disabilities","$16.15","$2.10","$18.25"
"Non-electrical without showers","Regular","$31.19","$4.06","$35.25"
"Non-electrical without showers","Ontario Senior","$25.00","$3.25","$28.25"
"Non-electrical without showers","Ont. Persons with Disabilities","$15.49","$2.01","$17.50"
"C - Low","C - Low","Base Fee","HST","Total"
"Electrical","Regular","$32.52","$4.23","$36.75"
"Electrical","Ontario Senior","$26.11","$3.39","$29.50"
"Electrical","Ont. Persons with Disabilities","$16.15","$2.10","$18.25"
"Non-electrical","Regular","$27.88","$3.62","$31.50"
"Non-electrical","Ontario Senior","$22.35","$2.90","$25.25"
"Non-electrical","Ont. Persons with Disabilities","$13.94","$1.81","$15.75"
"Non-electrical without showers","Regular","$26.33","$3.42","$29.75"
"Non-electrical without showers","Ontario Senior","$21.02","$2.73","$23.75"
"Non-electrical without showers","Ont. Persons with Disabilities","$13.05","$1.70","$14.75"
