"label","Sterbeort","Sterbedatum","Geburtsort","death place","birth place"
"Franciszek Wróblewski","http://dbpedia.org/resource/Vilnius","1857-04-28","http://dbpedia.org/resource/Vilnius","http://dbpedia.org/resource/Vilnius","http://dbpedia.org/resource/Vilnius"
"Walter V. von Châtillon","","","http://dbpedia.org/resource/Châtillon-sur-Marne","","http://dbpedia.org/resource/Châtillon-sur-Marne"
"Geregye II Geregye","","","","",""
"Henry Preussel","http://dbpedia.org/resource/Isaszeg","","","http://dbpedia.org/resource/Isaszeg",""
"Marcel Tétény","","","","",""
"Mojs I","","","","",""
"Paul Geregye","","","","",""
"Roland I Rátót","","","","",""
"Ruđina Balšić","","","","",""
"Stephen Geregye","","","","",""
"Stephen I Gutkeled","","","","",""
"Theodore Vejtehi","","","","",""
"Vejte Csanád","","","","",""
"Abdullah bin Saud","","","","",""
"Achilles (judge royal)","","","","",""
"Anne de Montmorency","","","","",""
