"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"46634391","FC Spicul Chișcăreni","http://fcspiculchiscareni.blogspot.com/","676199914"
"","FC Tacoma 253","",""
"","FC Wegberg-Beeck","",""
"45718059","FC Wichita","","677964190"
"46608933","FDRMX","http://fdrmx.com","680994691"
"","FIITJEE","",""
"46737003","Далерон-Уротеппа","",""
"46619375","FK Kukësi (women)","",""
"45637915","Стайцелес Бебри","https://twitter.com/sbebri/","669031455"
"","FKi Music","",""
"","FLYEST","",""
"","FSV 08 Bissingen","",""
"46719244","Dirección General de Fabricaciones Militares","http://www.fab-militares.gov.ar/","672945487"
"46263368","Fabrika reznog alata","","676874842"
"46621887","Faceware Technologies","http://facewaretech.com","681329190"
"47863363","Faculty of Agricultural Sciences, Aligarh Muslim University","",""
"47873061","Faculty of Arts, Aligarh Muslim University","","683039147"
"","Faculty of Ayurveda, Banaras Hindu University","",""
"46460507","Faculty of Engineering - Kharazmi University","",""
"","Facultad de Ciencias Políticas y Administración Pública de la Universidad Central de Chile","",""
