"Wikipage revision ID","label","Wikipage page ID"
"631826040","Yamaha FZR1000","5896060"
"665394043","Honda CB360","8727883"
"633879983","Honda NSR 500 V2","13213796"
"683347066","Bajaj CT 100","5518541"
"","Hero Honda Passion",""
"659398739","Honda CT90","5561609"
"678233798","Suzuki TL1000S","5613205"
"595998722","Yamaha XS750","5587884"
"672754081","هوندا سي بي 77","6223569"
"598271969","Lambretta SX200","6243835"
"656839871","Ducati 998","5852198"
"655733082","Kawasaki Vulcan 800 Drifter","6078627"
"679107615","Kawasaki ZXR400","5813591"
"","Triumph Tina",""
"657216532","Suzuki T20","6319184"
"641844043","Yamaha SDR 200","9832563"
"","Aprilia SMV 750 Dorsoduro",""
"","Bajaj Spirit",""
"","Velocette KTT",""
"669553890","بي إم دبليو اف 650 سي اس","13273456"
