"label","Geburtsort","birth place"
"David Chung (artist)","http://dbpedia.org/resource/Bonn","http://dbpedia.org/resource/Bonn"
"David Harrison (author)","",""
"David Helbock","http://dbpedia.org/resource/Austria",""
"David Hew Choong Jeng","http://dbpedia.org/resource/Kuala_Lumpur","Kuala Lumpur, Malaysia"
"David Huntsberger","http://dbpedia.org/resource/Nevada","http://dbpedia.org/resource/Nevada"
"David J Newton","http://dbpedia.org/resource/England",""
"David M. Schwarz","http://dbpedia.org/resource/Los_Angeles","Los Angeles, California, USA"
"David Magidson","http://dbpedia.org/resource/Encino,_Los_Angeles","Encino, California, U.S."
"David Michael Bennett","","San Diego, United States"
"David Nazarian","http://dbpedia.org/resource/Iran","http://dbpedia.org/resource/Iran"
"David Ryu","http://dbpedia.org/resource/South_Korea",""
"Dayramir Gonzalez","http://dbpedia.org/resource/Cuba",""
"DeWayne Woods","http://dbpedia.org/resource/Kansas_City,_Missouri","http://dbpedia.org/resource/Kansas_City,_Missouri"
"Dean O'Brien (tennis)","http://dbpedia.org/resource/Sandton","Sandton, South Africa"
"Deb Hoffmann","http://dbpedia.org/resource/Milwaukee","http://dbpedia.org/resource/Milwaukee"
"Deb Sofield","http://dbpedia.org/resource/Lebanon","http://dbpedia.org/resource/Lebanon"
"Deborah Milner","",""
"Declan Jones","http://dbpedia.org/resource/Merseyside",""
"Dedipya Joshii","http://dbpedia.org/resource/Jhalawar","http://dbpedia.org/resource/Jhalawar"
"Deeder Zaman","http://dbpedia.org/resource/England",""
