"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47478045","683329003","EGSY8p7","http://www.keckobservatory.org/recent/entry/new_record_keck_observatory_confirms_most_distant_galaxy"
"47293002","680628264","NGC 3059","http://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1990A%26A...233..372B&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf"
"47269272","672105859","NGC 4451",""
"47277905","672194352","NGC 4534",""
"47556172","","NGC 95",""
"47359227","673752404","M59-UCD3",""
"47574543","676944738","NGC 112",""
"47574578","681307307","NGC 113",""
"47574623","676946258","NGC 114",""
"47574647","676946814","NGC 115",""
"47571590","676947198","NGC 151",""
"47976526","683568454","NGC 157",""
"47975941","683568465","NGC 178",""
"47719639","679566870","NGC 201",""
"47725139","679697637","NGC 235",""
"47896839","682198652","NGC 2613",""
"47976628","683568475","NGC 289",""
"48008155","683896266","NGC 3021",""
"48009726","683946509","NGC 3041",""
"48014928","683946795","NGC 5001","http://spider.seds.org/"
