"label","Geburtsort","birth place"
"Blake Crouch","http://dbpedia.org/resource/Statesville,_North_Carolina","http://dbpedia.org/resource/Statesville,_North_Carolina"
"Blue (rapper)","http://dbpedia.org/resource/Gwangju",""
"Boaz Lavie","","New York City"
"Bob Loonan","",""
"Bob Theil","http://dbpedia.org/resource/Scotland",""
"Boban Trajkovski","http://dbpedia.org/resource/Kumanovo","http://dbpedia.org/resource/Kumanovo"
"Bobby Hajjaj","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladesh"
"Bodega Bamz","http://dbpedia.org/resource/United_States",""
"Boris Gerrets","","Amsterdam, Netherland"
"Кочейшвили, Борис Петрович","http://dbpedia.org/resource/Soviet_Union","http://dbpedia.org/resource/Soviet_Union"
"Косарев, Борис Максимович","http://dbpedia.org/resource/Russian_Empire",""
"Braam Jordaan","http://dbpedia.org/resource/Benoni,_Gauteng","http://dbpedia.org/resource/Benoni,_Gauteng"
"Brad Rubinstein","http://dbpedia.org/resource/England",""
"Bradley Ogden","http://dbpedia.org/resource/Traverse_City,_Michigan",""
"Brandon Dorman","http://dbpedia.org/resource/Washington_(state)","Washington, United States"
"Brazilian Wrestling Federation","",""
"Brendan Miles","http://dbpedia.org/resource/Calgary","http://dbpedia.org/resource/Calgary"
"Brennan Heart","",""
"Brent Jones (musician)","http://dbpedia.org/resource/Los_Angeles","http://dbpedia.org/resource/Los_Angeles"
"Brian Jay Jones (biographer)","http://dbpedia.org/resource/Kansas_City,_Kansas","http://dbpedia.org/resource/Kansas_City,_Kansas"
