"rank","organization","total","main","extendedd","h-index","g-index"
"1","carnegie mellon university","298.51","126.09","172.42","41","11"
"2","massachusetts institute of technology","262.95","73.78","189.16","43","11"
"3","georgia institute of technology","156.97","48.76","108.21","34","8"
"4","ibm research watson research center","154.25","68.04","86.21","26","8"
"5","microsoft","153.75","86.91","66.83","34","8"
"6","palo alto research center","130.88","76.56","54.32","57","9"
"7","university of michigan","120.33","43.04","77.29","27","7"
"8","university of toronto","118.04","73.55","44.48","35","8"
"9","stanford university","110.02","37.73","72.28","27","7"
"10","university of california berkeley","97.17","33.34","63.83","28","7"
"11","university of colorado boulder","92.12","46.93","45.18","27","7"
"12","university of maryland","88.98","30.71","58.27","25","6"
"13","university of washington","82.00","31.94","50.05","17","5"
"14","hewlett packard labs","50.07","24.07","26.00","15","5"
"15","virginia polytechnic institute and state university","47.83","17.93","29.89","15","5"
"16","university of glasgow","47.07","15.08","31.99","13","5"
"17","indiana university","42.10","4.25","37.85","5","2"
"18","apple computer","42.06","18.92","23.14","15","5"
"19","at&amp;t bell laboratories","40.04","19.39","20.64","13","4"
"20","university of york","38.71","9.53","29.17","13","4"
"21","intel","38.10","12.43","25.67","9","4"
"22","university of illinois chicago","38.04","18.08","19.95","9","3"
"23","university of california irvine","37.76","13.00","24.76","11","4"
"24","bellcore","36.63","13.41","23.22","15","4"
"25","ibm research almaden research center","36.31","16.92","19.39","16","4"
"26","university of calgary","34.47","13.88","20.58","19","5"
"27","university of british columbia","32.84","18.01","14.83","11","4"
"28","sony","31.74","7.76","23.98","13","4"
"29","eindhoven university of technology","31.16","2.67","28.50","7","3"
"30","sun microsystems","30.75","7.87","22.88","11","4"
"31","simon fraser university","29.07","9.97","19.10","14","4"
"32","university college london","28.60","9.46","19.14","11","4"
"33","delft university of technology","27.92","2.67","25.25","8","3"
"34","ntt","27.52","6.13","21.38","9","3"
"35","cornell university","26.03","12.56","13.47","7","3"
"36","university of tokyo","25.87","5.12","20.75","11","4"
"37","viktoria institute","25.83","3.67","22.16","10","4"
"38","europarc","25.62","13.53","12.08","14","4"
"39","university of nottingham","25.35","19.41","5.94","15","4"
"40","bell","24.05","16.32","7.74","14","4"
"41","xerox","23.64","18.28","5.37","18","4"
"42","university of oregon","23.08","8.50","14.58","7","3"
"43","digital equipment corporation","23.00","13.77","9.23","11","3"
"44","fx palo alto laboratory","22.78","6.87","15.92","11","4"
"45","nokia","22.48","8.01","14.47","8","3"
"46","aarhus university","22.46","10.20","12.26","12","3"
"47","university of tampere","22.28","10.45","11.83","10","4"
"48","university of minnesota","20.81","10.42","10.39","10","3"
"49","cnrs","20.54","6.54","14.00","8","3"
"50","dalhousie university","18.95","5.03","13.92","8","3"
"51","queen's university kingston","18.42","4.25","14.17","9","4"
"52","u s west advanced technologies","18.29","8.14","10.14","9","3"
"53","university of manchester","18.08","9.03","9.04","5","3"
"54","gmd","17.95","5.50","12.45","8","3"
"55","george mason university","17.78","3.00","14.78","5","2"
"56","university of saskatchewan","17.70","13.50","4.20","9","3"
"57","york university","17.50","4.92","12.58","7","3"
"58","rheinisch westfalische technische hochschule aachen","17.08","4.25","12.83","4","2"
"59","sunsoft","16.96","6.14","10.82","6","3"
"60","pennsylvania state university","16.96","3.68","13.28","2","1"
"61","interactive institute","16.67","1.50","15.17","8","3"
"62","columbia university new york","16.65","8.75","7.90","7","3"
"63","mrc applied psychology unit","16.27","13.68","2.58","9","3"
"64","university of cambridge","16.21","5.48","10.73","6","2"
"65","fraunhofer gesellschaft","15.88","4.50","11.38","6","2"
"66","new york university","15.75","1.50","14.25","4","2"
"67","drexel university","15.67","4.34","11.33","4","2"
"68","user interface engineering","15.65","0.14","15.51","4","2"
"69","loughborough university","15.20","1.50","13.70","3","2"
"70","nec corporation","15.00","4.00","11.00","5","2"
"71","university of california san diego","14.81","6.52","8.29","6","2"
"72","umea university","14.81","3.50","11.31","7","3"
"73","lotus","14.80","5.12","9.68","6","2"
"74","eastern university","14.65","3.00","11.65","4","2"
"75","hitachi","14.64","6.28","8.36","8","3"
"76","linkoping university","14.57","4.25","10.32","4","2"
"77","incontext enterprises","14.39","&nbsp;","14.39","2","1"
"78","imperial college","14.33","4.50","9.83","9","3"
"79","university of copenhagen","14.00","5.17","8.83","5","2"
"80","carleton university","13.72","2.50","11.22","4","2"
"81","atr","13.60","3.27","10.33","6","3"
"82","northwestern university","13.55","3.75","9.80","4","2"
"83","university of waterloo","13.50","10.00","3.50","6","2"
"84","university of pittsburgh","13.29","6.70","6.58","6","2"
"85","universitat paderborn","12.95","0.75","12.20","4","2"
"86","lockheed martin","12.94","6.60","6.34","5","2"
"87","technische universitat wien","12.87","1.33","11.53","5","2"
"88","motorola","12.82","4.25","8.57","5","2"
"89","nasa","12.81","6.91","5.90","5","2"
"90","open university uk","12.78","7.10","5.68","8","3"
"91","google","12.70","2.70","10.00","2","1"
"92","tufts university","12.69","3.47","9.22","4","2"
"93","new mexico state university","12.50","2.50","10.00","5","2"
"94","mitsubishi electric research laboratories","12.32","4.22","8.10","7","3"
"95","university of virginia","12.26","4.85","7.41","8","3"
"96","brigham young university","12.14","8.20","3.94","6","3"
